stage,epoch,train_loss,val_micro_precision,val_micro_recall,val_micro_f1,val_macro_precision,val_macro_recall,val_macro_f1,val_weighted_f1,val_hamming_loss,val_true_labels_per_sample,val_predicted_labels_per_sample,epoch_seconds
stage1,1,1.3736668694103864,0.6384615384615384,0.25637065637065637,0.36584022038567493,0.1818201271130714,0.08206223338236715,0.10084131757258462,0.299231447559,0.004727676004271749,1.0,0.4015444015444015,5.126283407211304
stage1,2,0.7265666710569504,0.6608946608946609,0.35366795366795367,0.4607645875251509,0.2620618916557761,0.14431275346873415,0.17059882003590532,0.3936131534981585,0.004403187381910786,1.0,0.5351351351351351,4.419795989990234
stage1,3,0.5415794052553515,0.686429512516469,0.4023166023166023,0.50730282375852,0.31862149788106825,0.19086949737380812,0.22107862119432933,0.4510331519874079,0.004156740326953093,1.0,0.5861003861003861,4.453994989395142
stage1,4,0.4188583292436938,0.6767189384800965,0.4332046332046332,0.5282485875706214,0.3633070843612512,0.24003335599273556,0.2715737851652947,0.48137695472559294,0.004115665817793477,1.0,0.6401544401544401,4.483877658843994
stage1,5,0.34317967401328664,0.6954492415402567,0.46023166023166023,0.5539033457249071,0.38738367554890285,0.24991877466080323,0.2876777605894001,0.5088691473110751,0.003943152879323092,1.0,0.6617760617760617,4.5412633419036865
stage1,6,0.2765193084875743,0.7253164556962025,0.44247104247104246,0.5496402877697841,0.4038354065914406,0.23299298133947308,0.2795155417261715,0.5040872846942985,0.0038568964100878993,1.0,0.61003861003861,4.569659471511841
stage1,7,0.2301266994459409,0.7020785219399538,0.4694980694980695,0.5627024525682555,0.39082403396054305,0.25519315444331436,0.2943682202917878,0.5151818091208861,0.0038815411155836686,1.0,0.6687258687258687,4.593191146850586
stage1,8,0.20068353689308707,0.7358943577430972,0.47335907335907335,0.5761278195488722,0.41884711466519753,0.2632173794721721,0.30720808302681973,0.5289828374754331,0.003704920726197322,1.0,0.6432432432432432,4.628208875656128
stage1,9,0.17409870308553074,0.7509293680297398,0.46795366795366794,0.576593720266413,0.43533984773470663,0.26416956119619706,0.3121599776136257,0.5324507048509767,0.0036556313152057832,1.0,0.6231660231660232,4.659335374832153
stage1,10,0.15565261006989378,0.7515605493133583,0.4648648648648649,0.5744274809160306,0.42533571681108084,0.261430928926702,0.3089252742983921,0.5306061212077113,0.0036638462170377065,1.0,0.6185328185328185,4.696377754211426
stage1,11,0.13897906312494412,0.761723700887199,0.4640926640926641,0.5767754318618042,0.4364528798508773,0.2653675438402169,0.31410502980488564,0.5332507722816654,0.0036227717078780907,1.0,0.6092664092664093,4.736318588256836
stage1,12,0.12718278972815114,0.7509157509157509,0.4749034749034749,0.5818353831598865,0.45805877598835043,0.27573360842919403,0.3265425144552244,0.5382624032536014,0.003630986609710014,1.0,0.6324324324324324,4.773467779159546
stage1,13,0.11822086355999006,0.7361282367447596,0.461003861003861,0.5669515669515669,0.42163466646424375,0.2581503759936858,0.30438407188383054,0.5226813672858417,0.0037459952353569373,1.0,0.6262548262548262,4.802326440811157
stage1,14,0.11319195352336194,0.7908847184986595,0.4555984555984556,0.5781479666829985,0.45112153630883484,0.26578220535240205,0.3187213594166659,0.5322596485724213,0.003536515238642898,1.0,0.5760617760617761,4.8449530601501465
stage1,15,0.10761609522903219,0.7795275590551181,0.4586872586872587,0.5775401069518716,0.46817214898677756,0.27092068382291257,0.32503328343961735,0.5333172923509941,0.0035693748459705906,1.0,0.5884169884169884,4.872153043746948
