stage,epoch,train_loss,val_micro_precision,val_micro_recall,val_micro_f1,val_macro_precision,val_macro_recall,val_macro_f1,val_weighted_f1,val_hamming_loss,val_true_labels_per_sample,val_predicted_labels_per_sample,epoch_seconds
stage1,1,1.0821755342527266,0.6467181467181468,0.40803897685749085,0.5003734129947722,0.6149392802330109,0.3605149794801178,0.4218167167025927,0.48172210533745263,0.01853185595567867,1.1371191135734071,0.7174515235457064,3.9332058429718018
stage1,2,0.5501766573945317,0.6637298091042585,0.5505481120584653,0.6018641810918774,0.705848826986251,0.5250496964731606,0.5734621037700334,0.5977528724605797,0.016565096952908587,1.1371191135734071,0.943213296398892,3.2085070610046387
stage1,3,0.39793878192201665,0.7170596393897365,0.6297198538367844,0.6705577172503242,0.7735461170508475,0.5814784746677146,0.6383304809191572,0.6644603674639719,0.01407202216066482,1.1371191135734071,0.9986149584487535,3.2147462368011475
stage1,4,0.31331851025786966,0.7557803468208093,0.6370280146163215,0.6913417052214144,0.7875064248493518,0.600590337773397,0.6600018350392027,0.6848050098798872,0.01293628808864266,1.1371191135734071,0.9584487534626038,3.2068819999694824
stage1,5,0.2525557082727415,0.7140992167101827,0.6662606577344702,0.6893509766855702,0.7615937553848433,0.6153962963553864,0.6554653840416258,0.6831714144107075,0.013656509695290859,1.1371191135734071,1.0609418282548477,3.2245519161224365
stage1,6,0.21184524046171696,0.7575342465753425,0.6735688185140073,0.7130883301096067,0.8004828482328774,0.6266431744409838,0.6830553352591322,0.7073147172402211,0.012326869806094183,1.1371191135734071,1.0110803324099722,3.232191801071167
stage1,7,0.17792504964345093,0.7752808988764045,0.6723507917174177,0.7201565557729941,0.8182660897924885,0.6349346388658955,0.693119756389398,0.7153118443251265,0.01188365650969529,1.1371191135734071,0.9861495844875346,3.241558790206909
stage1,8,0.1608848638764215,0.7520107238605898,0.6833130328867235,0.7160178685386088,0.8185499433836246,0.6229900096497247,0.6866428544920111,0.7118011098792307,0.012326869806094183,1.1371191135734071,1.0332409972299168,3.2501087188720703
stage1,9,0.1449493514288456,0.7864357864357865,0.6638246041412911,0.7199471598414795,0.8268230811945914,0.6311543484645968,0.7007274665492719,0.7153675949824776,0.011745152354570637,1.1371191135734071,0.9598337950138505,3.2483623027801514
stage1,10,0.12770091462025948,0.7849002849002849,0.6711327649208283,0.7235718975705844,0.8253122521714681,0.6344432093442236,0.6897213133717274,0.7183187832809101,0.011662049861495844,1.1371191135734071,0.9722991689750693,3.2617838382720947
stage1,11,0.11278722465995254,0.7816411682892906,0.6845310596833131,0.7298701298701299,0.8304969136343687,0.6438066969971115,0.7062530568485649,0.7255640185243345,0.01152354570637119,1.1371191135734071,0.9958448753462604,3.2763845920562744
stage1,12,0.10712166383452372,0.8346213292117465,0.6577344701583435,0.7356948228882834,0.8450585447858936,0.6265550991167526,0.6974790991685927,0.7295824498927582,0.01074792243767313,1.1371191135734071,0.8961218836565097,3.275160312652588
stage1,13,0.10229427945039687,0.8028776978417266,0.679658952496955,0.7361477572559367,0.8293491891754142,0.6463469778378931,0.7076420564772132,0.7303882483251378,0.0110803324099723,1.1371191135734071,0.9626038781163435,3.2823362350463867
stage1,14,0.09718514907114002,0.8193832599118943,0.679658952496955,0.7430093209054593,0.8276099356269137,0.6499836040828711,0.7115041335766944,0.7380587252737475,0.01069252077562327,1.1371191135734071,0.943213296398892,3.292954206466675
stage1,15,0.09382694023191382,0.8199404761904762,0.6711327649208283,0.7381111855324849,0.8374768449300956,0.6590419542938324,0.719790602020248,0.7337292376616427,0.010831024930747923,1.1371191135734071,0.9307479224376731,3.3012828826904297
