threshold,micro_f1,macro_f1
0.05,0.09607965152457996,0.07833927316290736
0.06,0.1085665818490246,0.08783707360355131
0.07,0.12114467408585056,0.09789595892266106
0.08,0.1348314606741573,0.10887458152885422
0.09,0.14898914450751918,0.12012909048758717
0.1,0.1650399290150843,0.13297510974979498
0.11,0.18181818181818182,0.1467796703927054
0.12,0.19997286663953331,0.16241127678643408
0.13,0.2197571578473992,0.1799778322867015
0.14,0.23811873047196186,0.195924553518003
0.15,0.2603186097031137,0.21573201959959562
0.16,0.284805091487669,0.2375739616369737
0.17,0.306180388731164,0.25509910806217734
0.18,0.32954545454545453,0.27634119721243255
0.19,0.3521916411824669,0.29899863033828533
0.2,0.3781858043299534,0.322579460301328
0.21,0.40011682242990654,0.3433101040997568
0.22,0.4239949748743719,0.36766868413783543
0.23,0.4477211796246649,0.39092026241155026
0.24,0.47285714285714286,0.413206118270214
0.25,0.49120179707974543,0.4314927660908333
0.26,0.5119937082186394,0.44872444096315
0.27,0.533278553820871,0.4778862241182484
0.28,0.55198973042362,0.49995228151493143
0.29,0.575134168157424,0.5234693311156957
0.3,0.5959831854273704,0.5453145142470788
0.31,0.6133076181292189,0.5639235306975019
0.32,0.6359077231695085,0.5897608139826206
0.33,0.648062015503876,0.6108827664637922
0.34,0.6617179215270413,0.6293076422548817
0.35,0.6735469853340575,0.6430723790203576
0.36,0.6840354767184036,0.6560210727744719
0.37,0.6933483652762119,0.6649039559310169
0.38,0.7094907407407407,0.6841912912058645
0.39,0.7148736037624926,0.6900023575008477
0.4,0.7307692307692307,0.7032288985698868
0.41,0.7342700061087355,0.702228627699294
0.42,0.7348951911220715,0.7043162222041879
0.43,0.7409261576971214,0.7114337337235681
0.44,0.7445997458703939,0.7117532263500069
0.45,0.7509627727856226,0.7206009788461238
0.46,0.7514600908500974,0.7212952588508006
0.47,0.7519582245430809,0.7214856716889888
0.48,0.7531270572745227,0.7226854560632922
0.49,0.7511612475116125,0.7203061787340634
0.5,0.7501674480910918,0.7186994607691283
0.51,0.7489878542510121,0.7154478833768035
0.52,0.7515316541865215,0.7160926447355301
0.53,0.7479452054794521,0.711899752074164
0.54,0.7442827442827443,0.7113074174914987
0.55,0.7437325905292479,0.7099459503830644
0.56,0.7429775280898876,0.7102901128173731
0.57,0.7397454031117398,0.7080336311584844
0.58,0.7342857142857143,0.7035993200288014
0.59,0.7341954022988506,0.7028630446454166
0.6,0.7293777134587555,0.700646720862904
0.61,0.7246165084002922,0.695944158224648
0.62,0.7232796486090776,0.6947701547608542
0.63,0.7205882352941176,0.6849097577874496
0.64,0.7149187592319055,0.6789090972950091
0.65,0.7116382505559674,0.6744393068471843
0.66,0.7044776119402985,0.6674711402764493
0.67,0.7001499250374813,0.6622769972102677
0.68,0.6972201352366642,0.6591254899018543
0.69,0.6928301886792453,0.6546903502032437
0.7,0.6888720666161998,0.6440983441700613
0.71,0.6824427480916031,0.6350646124984071
0.72,0.6779141104294478,0.6316741982111104
0.73,0.6718266253869969,0.622708379182294
0.74,0.6671850699844479,0.6174421229447092
0.75,0.655145326001571,0.6056622799932384
0.76,0.6514195583596214,0.59226596389104
0.77,0.6465927099841522,0.5818834836262069
0.78,0.6421725239616614,0.5717863146543563
0.79,0.637239165329053,0.5673928738488412
0.8,0.6283400809716599,0.557344816856027
0.81,0.6101973684210527,0.5351026051553432
0.82,0.5954962468723937,0.5162634420449188
0.83,0.5896147403685092,0.509987208571006
0.84,0.5750636132315522,0.5011716550771167
0.85,0.5584192439862543,0.48779245578910213
0.86,0.5471861471861472,0.47634808312884447
0.87,0.5294635004397538,0.4588666916165017
0.88,0.5111308993766697,0.4352068239676076
0.89,0.4950316169828365,0.42502286818821666
0.9,0.4701561065197429,0.3802499324283702
0.91,0.44672897196261685,0.3355369764385462
0.92,0.42803030303030304,0.32797672123444405
0.93,0.39922854387656703,0.31070723030152325
0.94,0.37168141592920356,0.29056089358123427
0.95,0.32896064581231077,0.25998919541778764
