Frequency_Group,n_labels,mean_precision,median_precision,mean_recall,median_recall,mean_f1,median_f1,f1_zero_count,f1_zero_percentage,f1_one_count,f1_one_percentage,total_test_support
Head,22,0.8199266677512566,0.8262499999999999,0.8004774540680036,0.8131408526713437,0.8065575621836174,0.8182867697991226,0,0.0,0,0.0,1258
Medium,25,0.8314426423249954,0.8666666666666667,0.711347110129517,0.7222222222222222,0.7604806466584297,0.7894736842105263,0,0.0,0,0.0,370
Tail,3,0.3333333333333333,0.0,0.1111111111111111,0.0,0.16666666666666666,0.0,2,66.66666666666666,0,0.0,9
