micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,weighted_f1,hamming_loss,avg_predicted_labels,threshold
0.007900664510349946,0.9966903073286052,0.01567705854355069,0.0074414412029001125,0.9819401206448325,0.014490950909466702,0.05477714181682796,0.6908942851773746,130.9190382728165,0.05
0.009523421551720236,0.9947990543735225,0.018866232671580496,0.008683400997069232,0.9807385738244296,0.016861280972258974,0.061761682370470035,0.5711586244336333,108.40480863591756,0.06
0.011703011017548944,0.9929078014184397,0.023133358302672453,0.010348764909451148,0.9770793412702073,0.020013065043172466,0.07128519854842243,0.462896456684693,88.04759568204122,0.07
0.01451811118748568,0.9886524822695035,0.028616003612924417,0.012401610348527202,0.9620064070426284,0.0238787661922337,0.0818989117632381,0.3705134362015326,70.67075564278704,0.08
0.01815424572290154,0.984869976359338,0.0356513255857737,0.014975553587662936,0.9514608618822167,0.028680037380314306,0.09488118882935469,0.29411396237445975,56.29980372914622,0.09
0.022690171244508235,0.9791962174940898,0.04435259348096115,0.018124853784185775,0.9412619043760783,0.034490444094466124,0.11005074380419912,0.23293069968471383,44.7855740922473,0.1
0.028375720396682392,0.9754137115839243,0.05514715710123232,0.021993969210606066,0.9364824599417604,0.04155439034854731,0.12735657593069477,0.18450504249055186,35.67369970559372,0.11
0.03530360759276422,0.9725768321513002,0.06813401566718007,0.026546063700896256,0.9331907483542654,0.04978373060293473,0.14583258958141349,0.1468560123608878,28.589793915603533,0.12
0.04343105320304017,0.9645390070921985,0.08311942305341645,0.03180320393607825,0.9140941234907474,0.05910832703326227,0.16632253824768975,0.11746497400455182,23.047595682041216,0.13
0.053067211483053066,0.957919621749409,0.10056337329064602,0.03787791238510531,0.9055670785746682,0.06976383270444811,0.1873657337439773,0.0945884576034076,18.733071638861627,0.14
0.06447170355186882,0.9517730496453901,0.12076309316695663,0.04511433392823631,0.8955893151167219,0.08225038854550291,0.21053044322450007,0.0765038732173804,15.320412168792934,0.15
0.07793569431500466,0.948936170212766,0.1440413392184304,0.05366413968607083,0.8886049098942848,0.09675530980989887,0.23602490254709638,0.06225596642515608,12.635917566241414,0.16
0.09295630774945443,0.9465721040189126,0.16928800947065786,0.06333728521681913,0.8877625302566496,0.11281037049641202,0.2633019418768033,0.05128098051907377,10.567713444553483,0.17
0.10941279964811963,0.9408983451536643,0.19603014332857213,0.07358646402255306,0.8661771893520948,0.1293090530880248,0.2903915572466805,0.04260278119975779,8.924435721295387,0.18
0.12796177932726452,0.9371158392434988,0.22517609634174052,0.08563861143743304,0.8511193637557054,0.14838159512668112,0.3172762761216991,0.035600192094878164,7.600098135426889,0.19
0.1487384801329506,0.9309692671394799,0.2564971015436722,0.10001190100347657,0.8422610415170219,0.17049358178122057,0.34431047439823276,0.029792976009020106,6.4955839057899905,0.2
0.1700556134862704,0.9252955082742317,0.28730822873082285,0.1143149648836547,0.8291008090934013,0.19188797007285321,0.37096379995191314,0.025340342012402647,5.646712463199215,0.21
0.19390913629555667,0.9182033096926714,0.32019785655399835,0.13106298784008172,0.8078237631488021,0.21607040223798596,0.39838038665277153,0.021521934311903617,4.914131501472031,0.22
0.2177346570397112,0.9125295508274232,0.35158028964386556,0.14908415999583033,0.8022558145120752,0.2413694986574765,0.42421760379109846,0.018580481489988098,4.349362119725221,0.23
0.2429113924050633,0.9073286052009456,0.38322516225661507,0.16884717177282263,0.7914768939947804,0.26685068389098365,0.4505133815663474,0.016121875848245048,3.876349362119725,0.24
0.2702242407039455,0.9002364066193853,0.4156751446348652,0.19492198461157786,0.7783097302002423,0.29726595598156874,0.4765229730569872,0.013971248407909297,3.4573110893032384,0.25
0.29552192229677016,0.8955082742316784,0.44439230408259034,0.21108311126809273,0.7611518879022674,0.3168129172694668,0.4993437050186343,0.012360887812415176,3.144749754661433,0.26
0.321288563149821,0.8912529550827423,0.4723127035830619,0.23390833594632907,0.7566849120235909,0.3420600919243781,0.5200671644482696,0.010993255799386132,2.878802747791953,0.27
0.3476968796433878,0.8851063829787233,0.49926656887585014,0.2547107342103506,0.7370585512898727,0.3638700366095939,0.5400957093764228,0.009800492765122251,2.6418056918547594,0.28
0.3717204085720008,0.8775413711583925,0.522228474957794,0.27540674524127934,0.7263218104768071,0.38421144686285824,0.5583713769730242,0.008863508237111895,2.4499509322865554,0.29
0.39537374170057826,0.8728132387706856,0.5442216981132075,0.29013860416770637,0.7116632025463674,0.3980649645493181,0.5761521247780754,0.008070072870774435,2.2909715407262023,0.3
0.4217171717171717,0.8685579196217494,0.5677638695719364,0.3153132187652425,0.7052983588047246,0.4212020235285554,0.5955443325362075,0.007300127367256175,2.13738959764475,0.31
0.44436345966958213,0.864775413711584,0.5870646766169154,0.3359900362636672,0.7011062768983122,0.4401061584696453,0.6104795032998838,0.006715490781533836,2.0196270853778215,0.32
0.4675057796044182,0.8605200945626478,0.6058588548601864,0.35181366507699646,0.6939069774756593,0.45329948980206114,0.6250773302189765,0.006180443906207588,1.9102060843964672,0.33
0.4887807515544742,0.8548463356973995,0.6219470244238046,0.3632341946381757,0.6682113484709288,0.4561175896318884,0.6374932646725985,0.005736746497400455,1.8150147203140334,0.34
0.5120841626386125,0.8515366430260047,0.6395596590909091,0.3816459173169346,0.6599255696203815,0.4700188949480163,0.6520044415496049,0.0052982690581087006,1.725711481844946,0.35
0.5311289842120941,0.8430260047281324,0.6516812865497076,0.3979369012290231,0.6456176997308557,0.4799073354841509,0.6609274837898212,0.0049746309481552625,1.6472031403336604,0.36
0.5500621890547264,0.8364066193853428,0.6636653535921966,0.41750531917039896,0.633564161524281,0.48949985007266694,0.6703703724774089,0.004679702670536404,1.57801766437684,0.37
0.5699481865284974,0.8321513002364066,0.6765327695560254,0.434303887329852,0.6236634374991471,0.498090393059842,0.6806321990587941,0.004392604347190613,1.5152109911678115,0.38
0.5836952890076846,0.8260047281323877,0.6840250587314017,0.45261840520025776,0.6175267487587691,0.5064463028068557,0.6858520282756732,0.004212515398910071,1.4685966633954857,0.39
0.6031966643502432,0.8208037825059101,0.695373522932105,0.4692666522255978,0.6110169913846502,0.5156591739282915,0.6946992957709838,0.003969786816444992,1.4121687929342492,0.4
0.6190305206463196,0.8151300236406619,0.7036734693877551,0.4771628681920434,0.599240444062385,0.5162648814224365,0.700646823116762,0.00378969786816445,1.3665358194308146,0.41
0.6311688311688312,0.8042553191489362,0.7072765072765073,0.47686161909512326,0.5836354142288522,0.5111664922672731,0.7017601802418427,0.003674858538826133,1.3223748773307165,0.42
0.6447669977081741,0.7981087470449173,0.7132896682864991,0.49014115967309646,0.5647888463463802,0.5095194595516814,0.7065629701473018,0.0035417493161839933,1.2845927379784101,0.43
0.6608969315499607,0.7943262411347518,0.7214945243719133,0.4984971729581888,0.5535852204123701,0.509481770741879,0.7128574653915559,0.0033851502307226528,1.2473012757605495,0.44
0.6740890688259109,0.7872340425531915,0.7262813522355507,0.5002199033746518,0.538023110394151,0.5027205509486468,0.7154821602769074,0.003275530870899714,1.2119725220804711,0.45
0.6863636363636364,0.7853427895981088,0.7325248070562294,0.5129062762453839,0.5376187381657046,0.5095019031360637,0.7211408827464715,0.0031659115110767755,1.1874386653581943,0.46
0.6931530008453085,0.7754137115839244,0.7319794688685561,0.5090472155920163,0.5212972697768206,0.5001802171297606,0.7197691498747156,0.003134591693984507,1.1609421000981355,0.47
0.7042192257503262,0.76548463356974,0.733574988672406,0.5099094710876555,0.5066732826499043,0.49234090131789937,0.7192762131775541,0.003069342075042282,1.1280667320902846,0.48
0.7166370106761566,0.7617021276595745,0.7384826953930782,0.5272983312783444,0.5043941854718534,0.4992797814581788,0.7233729638240042,0.0029779926085231664,1.1030421982335623,0.49
0.7262823422605538,0.7565011820330969,0.7410838351088467,0.5337409824826095,0.4947261241717352,0.49746506416437525,0.7248879846951726,0.002917962959096319,1.0809617271835132,0.5
0.7336103416435826,0.7513002364066194,0.742349918243401,0.5202627794653732,0.48147735835335115,0.48458752837046587,0.7238692942581044,0.0028788131877309836,1.0628066732090284,0.51
0.7450331125827815,0.7446808510638298,0.7448569401749823,0.5310870459736845,0.4744276421457015,0.4852804268444143,0.7257464876602061,0.0028161735535464473,1.0372914622178606,0.52
0.7552108579738245,0.7366430260047281,0.7458113930110101,0.5348066529490786,0.45891197248100285,0.47760334674406274,0.7254907732173009,0.002771803812665734,1.0122669283611383,0.53
0.763573543928924,0.7314420803782505,0.7471625211301618,0.5415874400984768,0.45455403566113284,0.4778431086312518,0.7264872707677916,0.0027326540413003986,0.9941118743866536,0.54
