accuracy,macro_f1,macro_precision,macro_recall,weighted_f1,weighted_precision,weighted_recall,model,test_samples,num_labels
0.49639194834789213,0.36402749360568165,0.36506454859739673,0.3933925292773148,0.4856011774222353,0.49778803991836806,0.49639194834789213,linear_svc,2633,154
0.3919483478921382,0.30953880158325675,0.3241221765930769,0.37605898159501944,0.38731426643718647,0.49020691846022485,0.3919483478921382,logistic_regression,2633,154
0.4249905051272313,0.26377097499045343,0.343012289932363,0.26117010371923766,0.38157774893997304,0.4252659983536528,0.4249905051272313,random_forest,2633,154
0.2457273072540828,0.03141589962773962,0.06975846149187835,0.039316407865087034,0.15710580618970854,0.23954669154806757,0.2457273072540828,multinomial_nb,2633,154
0.03380174705658944,0.01779368598203532,0.01937326954586931,0.024591146368753643,0.038133572091861,0.05663581106258641,0.03380174705658944,lightgbm,2633,154
