Technique_ID,Original_Train_Support,Frequency_Group,Augmented_Train_Support,Validation_Support,Test_Support,TP,FP,FN,Precision,Recall,F1,Threshold,Threshold_Fallback
T1125,22,Medium,19,3,5,0,0,5,0.0,0.0,0.0,0.5,True
T1127,10,Tail,9,1,3,1,0,2,1.0,0.3333333333333333,0.5,0.5,True
T1129,17,Tail,15,2,4,0,0,4,0.0,0.0,0.0,0.5,True
T1132,75,Medium,66,9,19,12,4,7,0.75,0.631578947368421,0.6857142857142857,0.5,True
T1133,30,Medium,26,4,8,1,2,7,0.3333333333333333,0.125,0.18181818181818182,0.5,True
T1134,59,Medium,52,7,15,5,3,10,0.625,0.3333333333333333,0.43478260869565216,0.5,True
T1135,35,Medium,31,4,9,2,1,7,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.5,True
T1136,31,Medium,27,4,8,3,1,5,0.75,0.375,0.5,0.5,True
T1137,43,Medium,38,5,11,1,0,10,1.0,0.09090909090909091,0.16666666666666669,0.5,True
T1140,704,Head,616,88,176,134,25,42,0.8427672955974843,0.7613636363636364,0.8,0.5,True
T1176,13,Tail,11,2,3,0,0,3,0.0,0.0,0.0,0.5,True
T1185,17,Tail,15,2,4,0,1,4,0.0,0.0,0.0,0.5,True
T1187,14,Tail,12,2,4,0,0,4,0.0,0.0,0.0,0.5,True
T1189,42,Medium,37,5,10,1,3,9,0.25,0.1,0.14285714285714288,0.5,True
T1190,101,Head,88,13,25,9,2,16,0.8181818181818182,0.36,0.5,0.5,True
T1195,22,Medium,19,3,6,2,0,4,1.0,0.3333333333333333,0.5,0.5,True
T1197,17,Tail,15,2,4,1,1,3,0.5,0.25,0.3333333333333333,0.5,True
T1199,9,Tail,8,1,2,0,0,2,0.0,0.0,0.0,0.5,True
T1200,3,Tail,3,0,1,0,1,1,0.0,0.0,0.0,0.5,True
T1201,8,Tail,7,1,2,0,0,2,0.0,0.0,0.0,0.5,True
T1202,4,Tail,3,1,1,0,0,1,0.0,0.0,0.0,0.5,True
T1203,50,Medium,44,6,12,5,2,7,0.7142857142857143,0.4166666666666667,0.5263157894736842,0.5,True
T1204,279,Head,244,35,70,46,12,24,0.7931034482758621,0.6571428571428571,0.71875,0.5,True
T1205,23,Medium,20,3,6,1,1,5,0.5,0.16666666666666666,0.25,0.5,True
T1207,6,Tail,5,1,2,0,0,2,0.0,0.0,0.0,0.5,True
T1210,38,Medium,33,5,10,5,4,5,0.5555555555555556,0.5,0.5263157894736842,0.5,True
T1211,5,Tail,4,1,1,0,0,1,0.0,0.0,0.0,0.5,True
T1212,4,Tail,3,1,1,0,0,1,0.0,0.0,0.0,0.5,True
T1213,19,Tail,17,2,5,3,0,2,1.0,0.6,0.7499999999999999,0.5,True
T1216,11,Tail,10,1,3,0,0,3,0.0,0.0,0.0,0.5,True
T1217,9,Tail,8,1,2,0,0,2,0.0,0.0,0.0,0.5,True
T1218,257,Head,225,32,64,31,5,33,0.8611111111111112,0.484375,0.62,0.5,True
T1219,98,Medium,86,12,24,13,7,11,0.65,0.5416666666666666,0.5909090909090908,0.5,True
T1220,12,Tail,10,2,3,0,0,3,0.0,0.0,0.0,0.5,True
T1221,15,Tail,13,2,4,0,0,4,0.0,0.0,0.0,0.5,True
T1222,29,Medium,25,4,7,0,1,7,0.0,0.0,0.0,0.5,True
T1480,27,Medium,24,3,7,2,0,5,1.0,0.2857142857142857,0.4444444444444445,0.5,True
T1482,12,Tail,10,2,3,2,0,1,1.0,0.6666666666666666,0.8,0.5,True
T1484,56,Medium,49,7,14,3,1,11,0.75,0.21428571428571427,0.3333333333333333,0.5,True
T1485,19,Tail,17,2,5,1,1,4,0.5,0.2,0.28571428571428575,0.5,True
T1486,42,Medium,37,5,11,2,3,9,0.4,0.18181818181818182,0.25000000000000006,0.5,True
T1489,25,Medium,22,3,6,0,0,6,0.0,0.0,0.0,0.5,True
T1490,22,Medium,19,3,6,4,0,2,1.0,0.6666666666666666,0.8,0.5,True
T1491,10,Tail,9,1,3,0,0,3,0.0,0.0,0.0,0.5,True
T1495,4,Tail,3,1,1,0,0,1,0.0,0.0,0.0,0.5,True
T1496,14,Tail,12,2,4,1,0,3,1.0,0.25,0.4,0.5,True
T1497,96,Medium,84,12,24,5,4,19,0.5555555555555556,0.20833333333333334,0.30303030303030304,0.5,True
T1498,26,Medium,23,3,6,0,2,6,0.0,0.0,0.0,0.5,True
T1499,39,Medium,34,5,10,0,2,10,0.0,0.0,0.0,0.5,True
T1505,55,Medium,48,7,14,5,2,9,0.7142857142857143,0.35714285714285715,0.4761904761904762,0.5,True
T1518,146,Head,128,18,37,18,14,19,0.5625,0.4864864864864865,0.5217391304347827,0.5,True
T1525,5,Tail,4,1,1,0,0,1,0.0,0.0,0.0,0.5,True
T1526,5,Tail,4,1,1,0,1,1,0.0,0.0,0.0,0.5,True
T1528,10,Tail,9,1,2,0,0,2,0.0,0.0,0.0,0.5,True
T1529,13,Tail,11,2,3,0,0,3,0.0,0.0,0.0,0.5,True
T1530,7,Tail,6,1,2,0,0,2,0.0,0.0,0.0,0.5,True
T1531,4,Tail,3,1,1,0,0,1,0.0,0.0,0.0,0.5,True
T1534,8,Tail,7,1,2,0,0,2,0.0,0.0,0.0,0.5,True
T1535,6,Tail,5,1,2,0,0,2,0.0,0.0,0.0,0.5,True
T1537,3,Tail,3,0,1,0,0,1,0.0,0.0,0.0,0.5,True
T1538,3,Tail,3,0,1,0,0,1,0.0,0.0,0.0,0.5,True
T1539,14,Tail,12,2,4,0,0,4,0.0,0.0,0.0,0.5,True
T1542,33,Medium,29,4,8,0,0,8,0.0,0.0,0.0,0.5,True
T1543,207,Head,181,26,52,32,14,20,0.6956521739130435,0.6153846153846154,0.6530612244897959,0.5,True
T1546,139,Head,122,17,35,6,0,29,1.0,0.17142857142857143,0.2926829268292683,0.5,True
T1547,386,Head,338,48,96,63,28,33,0.6923076923076923,0.65625,0.6737967914438503,0.5,True
T1548,105,Head,92,13,26,12,7,14,0.631578947368421,0.46153846153846156,0.5333333333333333,0.5,True
T1550,50,Medium,44,6,13,4,0,9,1.0,0.3076923076923077,0.47058823529411764,0.5,True
T1552,98,Medium,86,12,25,10,4,15,0.7142857142857143,0.4,0.5128205128205129,0.5,True
T1553,112,Head,98,14,28,11,6,17,0.6470588235294118,0.39285714285714285,0.4888888888888888,0.5,True
T1554,13,Tail,11,2,3,1,0,2,1.0,0.3333333333333333,0.5,0.5,True
T1555,113,Head,99,14,28,15,15,13,0.5,0.5357142857142857,0.5172413793103449,0.5,True
T1556,34,Medium,30,4,8,1,0,7,1.0,0.125,0.2222222222222222,0.5,True
T1557,35,Medium,31,4,9,4,0,5,1.0,0.4444444444444444,0.6153846153846153,0.5,True
T1558,42,Medium,37,5,11,3,2,8,0.6,0.2727272727272727,0.37499999999999994,0.5,True
T1559,38,Medium,33,5,10,1,2,9,0.3333333333333333,0.1,0.15384615384615383,0.5,True
T1560,112,Head,98,14,28,8,3,20,0.7272727272727273,0.2857142857142857,0.4102564102564102,0.5,True
T1561,25,Medium,22,3,6,0,1,6,0.0,0.0,0.0,0.5,True
T1562,263,Head,230,33,66,33,20,33,0.6226415094339622,0.5,0.5546218487394957,0.5,True
T1563,18,Tail,16,2,5,0,0,5,0.0,0.0,0.0,0.5,True
T1564,160,Head,140,20,40,23,9,17,0.71875,0.575,0.6388888888888888,0.5,True
T1565,18,Tail,16,2,5,1,1,4,0.5,0.2,0.28571428571428575,0.5,True
T1566,277,Head,242,35,69,55,10,14,0.8461538461538461,0.7971014492753623,0.8208955223880597,0.5,True
T1567,22,Medium,19,3,6,2,0,4,1.0,0.3333333333333333,0.5,0.5,True
T1568,44,Medium,38,6,11,3,4,8,0.42857142857142855,0.2727272727272727,0.33333333333333326,0.5,True
T1569,78,Medium,68,10,20,7,7,13,0.5,0.35,0.4117647058823529,0.5,True
T1570,99,Medium,87,12,25,9,2,16,0.8181818181818182,0.36,0.5,0.5,True
T1571,26,Medium,23,3,7,2,1,5,0.6666666666666666,0.2857142857142857,0.4,0.5,True
T1572,16,Tail,14,2,4,1,1,3,0.5,0.25,0.3333333333333333,0.5,True
T1573,236,Head,206,30,59,34,22,25,0.6071428571428571,0.576271186440678,0.591304347826087,0.5,True
T1574,248,Head,217,31,62,36,13,26,0.7346938775510204,0.5806451612903226,0.6486486486486487,0.5,True
T1578,15,Tail,13,2,4,0,0,4,0.0,0.0,0.0,0.5,True
T1580,8,Tail,7,1,2,0,0,2,0.0,0.0,0.0,0.5,True
T1583,59,Medium,52,7,15,4,1,11,0.8,0.26666666666666666,0.4,0.5,True
T1584,35,Medium,31,4,9,2,0,7,1.0,0.2222222222222222,0.3636363636363636,0.5,True
T1585,29,Medium,25,4,7,2,4,5,0.3333333333333333,0.2857142857142857,0.30769230769230765,0.5,True
T1586,22,Medium,19,3,6,3,0,3,1.0,0.5,0.6666666666666666,0.5,True
T1587,38,Medium,33,5,10,5,1,5,0.8333333333333334,0.5,0.625,0.5,True
T1588,85,Medium,74,11,21,10,3,11,0.7692307692307693,0.47619047619047616,0.588235294117647,0.5,True
T1589,26,Medium,23,3,6,4,0,2,1.0,0.6666666666666666,0.8,0.5,True
T1590,28,Medium,24,4,7,4,5,3,0.4444444444444444,0.5714285714285714,0.5,0.5,True
