threshold,micro_f1,macro_f1
0.05,0.03981657761673729,0.023712533618773814
0.06,0.046031157713506854,0.027052394727748005
0.07,0.05242627123333149,0.030329639835492903
0.08,0.059542542876670955,0.03433309805882074
0.09,0.06698425397287174,0.03852138820984292
0.1,0.07543023014721129,0.04322993104857745
0.11,0.08468320206888445,0.04856652569152201
0.12,0.0948117355504037,0.05458300267318044
0.13,0.10579557428872498,0.06075610346164289
0.14,0.11704402729216877,0.06662837792287653
0.15,0.13024712577823613,0.07408333689937681
0.16,0.14421885018166275,0.08181164932839698
0.17,0.15879233745760282,0.08951060653835849
0.18,0.17457103271874666,0.09688180656733948
0.19,0.19197166469893742,0.10706188728888065
0.2,0.20967952910398954,0.11557609156788728
0.21,0.23018568022541724,0.12609333882827256
0.22,0.24972182482912098,0.13728616517559086
0.23,0.27114797031863813,0.14918193579562863
0.24,0.2921626511760785,0.1606119040007579
0.25,0.31595379331876366,0.17436808063533393
0.26,0.3382882882882883,0.18752092567037193
0.27,0.36095898746501154,0.19993668334167244
0.28,0.38539340601602523,0.21407879668022048
0.29,0.4087776058517372,0.2275008653043266
0.3,0.43077383625205806,0.2420991469946611
0.31,0.4532695374800638,0.2508863221306063
0.32,0.47344461305007585,0.26334477688125585
0.33,0.4926405391026778,0.27598628116351287
0.34,0.5095423383361126,0.2879849212387998
0.35,0.5278637770897833,0.3048580890320452
0.36,0.5457868020304568,0.3139213704240908
0.37,0.5586192380551462,0.3207185354017644
0.38,0.5716775599128541,0.33042484222786644
0.39,0.5875731652408824,0.33698121496647315
0.4,0.6015843429636533,0.3478917382306131
0.41,0.6105263157894737,0.3495694546090708
0.42,0.6190359677024713,0.3503921384296911
0.43,0.6263434141464633,0.3559041305588342
0.44,0.6308827270414653,0.3584357236993935
0.45,0.633160621761658,0.3556520377051999
0.46,0.6349289847448711,0.35606529221349115
0.47,0.6380138814735719,0.3561087269730266
0.48,0.6395884105063634,0.35290027496077514
0.49,0.6395827614603349,0.3523404674339063
0.5,0.640177827174215,0.34834777111218346
0.51,0.6400674346726608,0.3438321150712053
0.52,0.6395250212044106,0.3428179688763985
0.53,0.6375071469411092,0.34221942514800013
0.54,0.6319124423963134,0.33536102090174663
0.55,0.6269610691458455,0.325289588855055
0.56,0.6222483122982095,0.31420003542953284
0.57,0.6180740740740741,0.3079403116757999
0.58,0.6164424514200298,0.3069419875996991
0.59,0.6111613876319759,0.3033604809004445
0.6,0.6096451319381255,0.3005644582742508
0.61,0.6072083078802688,0.2949462377395197
0.62,0.6031941031941032,0.2918460533492086
0.63,0.5960223741454319,0.2874214581103797
0.64,0.5895264973345876,0.28127754284988626
0.65,0.5811965811965812,0.2782893833945469
0.66,0.5734355044699873,0.2734001678368818
0.67,0.5663773706203793,0.26744726462338186
0.68,0.5565669700910273,0.2630312347708404
0.69,0.5473684210526316,0.25604144740896095
0.7,0.53550099535501,0.2522967686295987
0.71,0.5279731993299832,0.24708089637813566
0.72,0.5177664974619289,0.2429922077660739
0.73,0.5064846416382253,0.2310985257528918
0.74,0.4963855421686747,0.22118188888340162
0.75,0.48890429958391124,0.2102326916290027
0.76,0.48340901152637095,0.20264096993936875
0.77,0.47505270555165147,0.19732054379024577
0.78,0.4636653668911733,0.18901048225722655
0.79,0.45262781551662495,0.1844992417979304
0.8,0.4405191059841384,0.17579748533451753
0.81,0.43007628042135854,0.17080885483443028
0.82,0.41834862385321103,0.16491925475765584
0.83,0.4071058475203553,0.16162808549043092
0.84,0.3923766816143498,0.15699905770581662
0.85,0.3718288527073078,0.14812261722954131
0.86,0.35478927203065136,0.1396299624809878
0.87,0.34068912117692607,0.13366028061898894
0.88,0.3191823899371069,0.12600829240191241
0.89,0.2955271565495208,0.11262627270711824
0.9,0.28364222401289285,0.10592202635956831
0.91,0.2651978784169727,0.09677221886372944
0.92,0.24089403973509935,0.08648713058247964
0.93,0.21136842105263157,0.07360828686673199
0.94,0.19096334185848252,0.06473877328803734
0.95,0.1596529284164859,0.056405881140219404
