stage,epoch,train_loss,val_micro_precision,val_micro_recall,val_micro_f1,val_macro_precision,val_macro_recall,val_macro_f1,val_weighted_f1,val_hamming_loss,val_true_labels_per_sample,val_predicted_labels_per_sample,epoch_seconds
stage1,1,1.1892401609059327,0.6027397260273972,0.3120567375886525,0.411214953271028,0.24348914453229437,0.11710533406621834,0.145768558524443,0.36971695459671344,0.004932871192032238,1.0377821393523061,0.5372914622178606,10.569230079650879
stage1,2,0.6639885586135241,0.6271829916476841,0.3905437352245863,0.4813519813519814,0.34700603313979217,0.18889476931226018,0.2249902450456134,0.44922326986880295,0.004645772868686447,1.0377821393523061,0.6462217860647694,9.730534076690674
stage1,3,0.5059323623646105,0.6272666218938885,0.44160756501182036,0.5183129855715871,0.39670581592582216,0.23684124973128523,0.27788450988902363,0.491640643211075,0.00453093353934813,1.0377821393523061,0.7306182531894013,9.793571949005127
stage1,4,0.4149336095888483,0.6556945358788677,0.47092198581560285,0.5481563015960375,0.4162313805481857,0.26270956379540134,0.3034054253870802,0.5253898921833138,0.004285594972125363,1.0377821393523061,0.7453385672227674,9.879359245300293
stage1,5,0.3536634126748705,0.6796675191815856,0.5026004728132387,0.5778744223973906,0.46036477504388634,0.29408412592467886,0.342446527152006,0.5574740097648588,0.00405330632869104,1.0377821393523061,0.7674190382728164,9.965426445007324
stage1,6,0.308641950825213,0.6933245208195637,0.49598108747044917,0.5782800441014333,0.46418593868749786,0.29099581392806717,0.33969128053494496,0.5590778004508752,0.003993276679264193,1.0377821393523061,0.7423945044160942,10.030236005783081
stage1,7,0.2746164639732928,0.7133058984910837,0.491725768321513,0.5821438567030507,0.4493811649958099,0.2869745834066545,0.3324730412659331,0.5598962858981893,0.0038967072432296995,1.0377821393523061,0.7154072620215898,10.1068594455719
stage1,8,0.2465995523220596,0.6995397764628534,0.5030732860520094,0.5852585258525853,0.4538131024470737,0.2927439050365383,0.3373078668160893,0.5649375819814241,0.0039358570145950345,1.0377821393523061,0.7463199214916585,10.18053388595581
stage2,1,0.2843424038453536,0.7358490566037735,0.4978723404255319,0.5939086294416244,0.46152821789811344,0.26236363334993806,0.32180375024270386,0.5682152001665868,0.003758378051072182,1.0377821393523061,0.7021589793915604,6.745609283447266
stage2,2,0.25498095466332005,0.7363321799307958,0.5030732860520094,0.597752808988764,0.4491450614938551,0.25895449184569697,0.3153413482434993,0.5715178318924597,0.0037374981730106697,1.0377821393523061,0.7090284592737979,6.792743444442749
stage2,3,0.23404992608861488,0.7350136239782016,0.5101654846335697,0.6022885849846498,0.4554731922472402,0.26347893949967544,0.32093439845377797,0.5765742799270225,0.0037192282797068464,1.0377821393523061,0.7203140333660452,6.824209690093994
