Frequency_Group,n_labels,mean_precision,median_precision,mean_recall,median_recall,mean_f1,median_f1,f1_zero_count,f1_zero_percentage,f1_one_count,f1_one_percentage,total_test_support
Head,22,0.8303640629333057,0.8260159195643066,0.8321563687098138,0.8342857142857143,0.8292835839476198,0.8222811671087533,0,0.0,0,0.0,1258
Medium,25,0.8557774728195782,0.8571428571428571,0.7685646304757894,0.8235294117647058,0.7974865147458652,0.8333333333333334,0,0.0,3,12.0,370
Tail,3,0.6666666666666666,1.0,0.3055555555555555,0.25,0.4000000000000001,0.4,1,33.33333333333333,0,0.0,9
