stage,epoch,train_loss,val_micro_precision,val_micro_recall,val_micro_f1,val_macro_precision,val_macro_recall,val_macro_f1,val_weighted_f1,val_hamming_loss,learning_rate,epoch_seconds,amp_skipped_steps,amp_skip_rate
STAGE 2 — ORIGINAL ONLY,1,0.04951637989453107,0.8130841121495327,0.8477466504263094,0.8300536672629696,0.8220964442330763,0.7998776897029507,0.7911567492227356,0.8278112705648986,0.007894736842105263,2.7771329077190948e-05,29.174408674240112,0,0.0
STAGE 2 — ORIGINAL ONLY,2,0.04354527739364198,0.7681623931623932,0.8757612667478685,0.8184405236198065,0.7796627186019053,0.8273472000097942,0.7878726933822364,0.8193223464043693,0.008836565096952909,2.2234474753337203e-05,28.77375078201294,1,0.31347962382445144
STAGE 2 — ORIGINAL ONLY,3,0.027421707860383913,0.8207217694994179,0.8587088915956151,0.8392857142857143,0.8355534180827888,0.8191084816155297,0.8125604785538738,0.8388673627863499,0.007479224376731302,1.6680208937899015e-05,28.890074491500854,0,0.0
STAGE 2 — ORIGINAL ONLY,4,0.01663730603855886,0.8024971623155505,0.8611449451887941,0.8307873090481787,0.8279565122818299,0.813267827499329,0.8029518818650365,0.8294066523950497,0.007977839335180056,1.1125943122460824e-05,29.22573757171631,0,0.0
STAGE 2 — ORIGINAL ONLY,5,0.01065890750041973,0.8042986425339367,0.8660170523751523,0.8340175953079179,0.8297005926075937,0.8196179804045279,0.8090420012533683,0.8329147841655338,0.007839335180055402,5.571677307022635e-06,28.809864282608032,0,0.0
