Frequency_Group,n_labels,mean_precision,median_precision,mean_recall,median_recall,mean_f1,median_f1,f1_zero_count,f1_zero_percentage,f1_one_count,f1_one_percentage,total_test_support
Head,30,0.8196688361630485,0.8350340136054422,0.8468756802586762,0.8571428571428571,0.8308647830046303,0.85239651416122,0,0.0,0,0.0,1426
Medium,89,0.7788329530417665,0.8,0.6792423202641282,0.7142857142857143,0.7067330101263252,0.7346938775510204,1,1.1235955056179776,2,2.247191011235955,973
Tail,69,0.5439613526570048,0.6666666666666666,0.39082125603864737,0.4,0.43296526340004604,0.5,24,34.78260869565217,7,10.144927536231885,183
