micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,weighted_f1,hamming_loss,avg_predicted_labels,threshold
0.006056521801471116,0.9985815602836879,0.01204001938260696,0.005708035082542567,0.9803191489361702,0.011169370415638119,0.043870010516368685,0.9046363769235588,171.1064769381747,0.05
0.0067708266385593276,0.9962174940898345,0.013450238267747197,0.00603987126444186,0.9730434459157862,0.011815034019245375,0.04535947223907689,0.80671757876934,152.6928361138371,0.06
0.00795026645667388,0.9952718676122931,0.01577452545281506,0.006659530394726713,0.9715572131247976,0.013019961159422161,0.04802550568279997,0.6855803562107198,129.91707556427872,0.07
0.00969169507654499,0.9919621749408983,0.01919584242573963,0.007654818529523843,0.9629822569270459,0.014947462930133376,0.052359474220786704,0.559562462155221,106.21884200196271,0.08
0.012113336272712506,0.9872340425531915,0.02393301506702505,0.009125308314235294,0.9506638598464462,0.01778451821116759,0.058629303939628084,0.44450911406677385,84.57899901864573,0.09
0.015461235412175723,0.983451536643026,0.030443850854403747,0.011255801875818422,0.9394741561092095,0.021873238957033903,0.06728277939543706,0.3457838306224292,66.0107948969578,0.1
0.01991610221674877,0.9787234042553191,0.03903782142554054,0.014208363205230126,0.9272655343693891,0.02750443859822613,0.07833732952979416,0.26598615664084524,50.999018645731105,0.11
0.025819774718397998,0.9754137115839243,0.0503078705114918,0.01836217919251526,0.9174779092129435,0.03534553012839733,0.09286754850316124,0.2032891027916397,39.20510304219823,0.12
0.033358827071094985,0.9692671394799054,0.06449786055877171,0.023823612223541846,0.9038288355515124,0.045512733852084125,0.1105836431408971,0.15521057357025034,30.153581943081452,0.13
0.04294051958450096,0.9635933806146572,0.0822172018718735,0.031246839476124822,0.897546958307376,0.059117748034862874,0.13137709043293208,0.11875430647485019,23.288027477919528,0.14
0.05447261581480386,0.957919621749409,0.10308334181337132,0.04007102885472726,0.8784646955968838,0.07490491149258675,0.15550849923840152,0.09201762261708392,18.249754661432778,0.15
0.06840601401455881,0.9508274231678487,0.12762986703899978,0.05014638144555066,0.8527834764591905,0.09241028463920659,0.18306453361416603,0.07175109097362871,14.424926398429832,0.16
0.08488243782361429,0.9456264775413712,0.15578143864158586,0.0633791077511632,0.8432513054905149,0.11482754327339027,0.21343537066212742,0.05657663959242478,11.561334641805692,0.17
0.10338560598192958,0.941371158392435,0.18630983015954708,0.07857809705359267,0.8271150492441646,0.13934095298164315,0.2450055264436808,0.045390244920969665,9.44946025515211,0.18
0.12377382068103718,0.9366430260047282,0.21865342163355408,0.0975918244590389,0.8208590092799463,0.16847924964105004,0.2794752491121879,0.03695216419936108,7.853287536800785,0.19
0.1467092556826623,0.933806146572104,0.25357899467163125,0.12147090069947876,0.8163113193673306,0.20167530790507393,0.3144242916031546,0.030346292777650177,6.60549558390579,0.2
0.1719077568134172,0.9304964539007092,0.2902012829020128,0.1439141777041299,0.812515315214717,0.23312334476041607,0.350335875690939,0.025126323262272147,5.617271835132483,0.21
0.19648770697441043,0.9257683215130024,0.32417218543046356,0.16667681620777752,0.80222097732014,0.26217870933511833,0.38202873847316315,0.021307915561773118,4.889597644749754,0.22
0.2221211776742071,0.9238770685579196,0.3581378299120235,0.19332785632808075,0.8013198621068031,0.2938626799701931,0.4139763877066482,0.01828033324285386,4.31648675171737,0.23
0.24821154828819622,0.9186761229314421,0.39082771799255756,0.21322781877894503,0.7904849180389115,0.31797884646777824,0.44318920058860406,0.015808677677322365,3.8410206084396465,0.24
0.2755276668568169,0.9134751773049645,0.42335926372301963,0.23544909678818493,0.7789644346116288,0.3439018071607093,0.47135961256077474,0.013736349779717286,3.4406280667320903,0.25
0.3007354091691441,0.9087470449172577,0.45191629438043734,0.2579726530443522,0.7768858303448805,0.36942995320220157,0.49709176748088796,0.012167748940346189,3.135917566241413,0.26
0.3285248153872574,0.9044917257683215,0.4819853867472915,0.2865587002170057,0.7755553972939068,0.3983261336374089,0.5244210457548188,0.01073225732361723,2.8572129538763495,0.27
0.3540315106580167,0.9030732860520094,0.5086551264980027,0.3117631270844254,0.7734942270811408,0.4232074279378035,0.5473090778639493,0.009630843755872465,2.6472031403336604,0.28
0.3779543197616683,0.8997635933806146,0.5323076923076923,0.3370644901200058,0.76982224512221,0.4458815271630536,0.5670789513034756,0.008727789029712066,2.470559371933268,0.29
0.4012725344644751,0.8945626477541371,0.5540263543191801,0.3564028558379666,0.7627431429300762,0.46352059452252453,0.5858070063989527,0.00795001357192074,2.313542688910697,0.3
0.42487046632124353,0.891725768321513,0.5755263960939884,0.3785457264768376,0.7610553504277024,0.4842861764528192,0.6043481291698911,0.00726097759589084,2.178115799803729,0.31
0.44716801523084243,0.8884160756501182,0.5949026436599651,0.3997584405770136,0.7583706575331816,0.5026251423135661,0.6211590600717185,0.0066789509949261895,2.061825318940137,0.32
0.46818637274549096,0.8836879432624114,0.6120844932045194,0.41772533045193166,0.7529259327789061,0.5151773785334152,0.6369849444853412,0.006183053890965276,1.9587831207065751,0.33
0.48720626631853786,0.8822695035460993,0.6277544154751893,0.44161707877717254,0.7525610942133608,0.5339571835059278,0.6498760635174742,0.00577589626876579,1.8792934249263984,0.34
0.506001091107474,0.8770685579196218,0.6417574814046013,0.4574535793088732,0.7486951294037715,0.5464456300148113,0.6612354775612459,0.00540527843317395,1.7988223748773307,0.35
0.5251634916121695,0.8732860520094563,0.6558948863636364,0.47684926942506967,0.7457677854785821,0.559650781363264,0.6729862894585359,0.005058150460401312,1.725711481844946,0.36
0.5415929203539823,0.8680851063829788,0.6670299727520436,0.4972617878834901,0.7338112722764522,0.5662356073781641,0.6823581770825138,0.0047841020608439646,1.663395485770363,0.37
0.5560292326431181,0.8633569739952719,0.6764215595480645,0.5019321878699916,0.722495634502634,0.5670804004356716,0.6902814840323245,0.004559643371682709,1.6113837095191363,0.38
0.5695529853079088,0.8614657210401891,0.685735792246895,0.5120707438702801,0.721282748186194,0.5743457145780344,0.6979899635191819,0.004358674545340655,1.569676153091266,0.39
0.5844660194174758,0.8539007092198582,0.6939481268011527,0.5320164581403514,0.7089946991309735,0.5826992471445966,0.7047483127806059,0.004157705718998601,1.5161923454367026,0.4
0.5948446794448117,0.851063829787234,0.7002528690916164,0.5391524417347088,0.6999504410840558,0.5841361482115263,0.7096003422611623,0.004021986511598772,1.4847890088321885,0.41
0.6064406779661017,0.8458628841607565,0.7064165844027641,0.5490938828902523,0.6941333080437837,0.5862573888464897,0.7142145860125411,0.0038810473346835655,1.4474975466143278,0.42
0.6179228898923237,0.8411347517730496,0.7124549459351222,0.5539550930953729,0.6886365712397168,0.5881145437614367,0.7190484140581456,0.0037479381120414258,1.4126594700686947,0.43
0.627874071453838,0.8392434988179669,0.7183326588425738,0.5604470893588748,0.6827206384280604,0.5914186519210409,0.7240076642916613,0.003633098782703109,1.387144259077527,0.44
0.6412490922294843,0.8349881796690307,0.7254056274388991,0.5654587178589134,0.674973102789683,0.5918029732021605,0.7297871907958058,0.003489549621030213,1.351324828263003,0.45
