minority_threshold,global_threshold,minority_macro_f2,minority_macro_recall,overall_micro_precision,overall_micro_recall,overall_micro_f1,overall_macro_precision,overall_macro_recall,overall_macro_f1,hamming_loss
0.05,0.59,0.009796879157759456,0.9647058823529412,0.014037423883039963,0.7814671814671814,0.027579440780509074,0.41591501122580005,0.8170578592655414,0.3879595983350408,0.29312412716668035
0.06,0.59,0.012510199468428854,0.9568627450980391,0.018111394039378833,0.7799227799227799,0.03540071151925133,0.41616553429968406,0.8135117599747612,0.38845802593473683,0.22607820586543992
0.07,0.59,0.016596683386328633,0.9529411764705882,0.024037545263960357,0.7791505791505792,0.04663631531510712,0.41654521647109993,0.8117387103293712,0.38921222407839845,0.169444672636162
0.08,0.59,0.02243483614127631,0.9470588235294117,0.032329452516116616,0.7783783783783784,0.062080433577631336,0.41709298783668813,0.8090791358612861,0.39029761082977266,0.12510473999835703
0.09,0.59,0.030508399360597196,0.9352941176470588,0.04371228892650953,0.7776061776061776,0.0827716587210258,0.41786128756500823,0.8037599869251159,0.39181447891993254,0.09167008954242997
0.1,0.59,0.04063808119209823,0.9058823529411765,0.0588166373755126,0.7752895752895753,0.1093384154641982,0.41884665352712724,0.7904621145846904,0.39374897722262236,0.06718557463238314
0.11,0.59,0.05436791325048542,0.888235294117647,0.07832408348315485,0.7737451737451737,0.14224872231686542,0.4202188890666035,0.7824833911804351,0.39642399281174107,0.049634436868479424
0.12,0.59,0.06996157459469844,0.8529411764705882,0.10279892982095082,0.7714285714285715,0.18142195587033505,0.4218440239025673,0.7665259443719245,0.3995574050281337,0.03702867000739341
0.13,0.59,0.08870677184492726,0.8352941176470589,0.13109796186719264,0.7698841698841699,0.22404494382022472,0.42387346059904896,0.7585472209676691,0.4034301565218337,0.028366056025630495
0.14,0.59,0.10867970441169607,0.7941176470588235,0.16372338669747483,0.766023166023166,0.2697851509382649,0.42621141587020805,0.7399301996910733,0.40779852305536646,0.022057011418713548
0.15,0.59,0.13406025118856785,0.7705882352941177,0.20101522842639594,0.7644787644787645,0.3183279742765273,0.42935740363266944,0.7292919018187329,0.4135781921871888,0.01741559188367699
0.16,0.59,0.1661303303505562,0.7666666666666667,0.2422831945124939,0.7637065637065638,0.3678631206992747,0.4336427498500324,0.7275188521733428,0.4212762176679472,0.013961225663353323
0.17,0.59,0.20483088403356475,0.7450980392156862,0.28953556731334507,0.7606177606177607,0.41941664892484565,0.43991144743045746,0.7177670791236974,0.4318485787283962,0.011201018647827158
0.18,0.59,0.2353982795421746,0.7274509803921568,0.33008730691739424,0.759073359073359,0.4600982915984086,0.4456326156510539,0.7097883557194421,0.4410336403372605,0.009475889263123306
0.19,0.59,0.26696371595023116,0.7058823529411765,0.37437858508604205,0.7559845559845559,0.50076726342711,0.4519301185198079,0.7000365826697967,0.45101052625474336,0.008017744187956954
0.2,0.59,0.28943181840718996,0.6823529411764706,0.41468590831918506,0.7544401544401544,0.5351958367570528,0.4574504140878827,0.6893982847974564,0.4591857904239382,0.006970344204386757
0.21,0.59,0.3229664255795611,0.6764705882352942,0.4533209475150952,0.7536679536679537,0.5661252900232019,0.46657488771002026,0.6867387103293712,0.4718624743852648,0.0061447465702784854
0.22,0.59,0.35167716239337743,0.6647058823529411,0.4877315973960941,0.7521235521235521,0.5917375455650061,0.47865776683349537,0.681419561393201,0.4855671904302963,0.005520414031052329
0.23,0.59,0.3640924180104853,0.6470588235294118,0.5181236673773987,0.7505791505791506,0.6130558183538316,0.4839721980363105,0.6734408379889457,0.49191644389339345,0.005039842273884827
0.24,0.59,0.3870494655696493,0.6470588235294118,0.5442329227323628,0.7505791505791506,0.6309639727361246,0.49156548386603893,0.6734408379889457,0.5017864381202565,0.004670171691448287
0.25,0.59,0.4142483213138284,0.6470588235294118,0.5690866510538641,0.7505791505791506,0.6473526473526473,0.5050614300956673,0.6734408379889457,0.5159062125388042,0.004349790520003286
0.26,0.59,0.4391420337323426,0.6411764705882353,0.595340282035561,0.7498069498069498,0.6637047163362952,0.5187802718444512,0.6707812635208605,0.5299134141509998,0.004041731701306169
0.27,0.59,0.44691301653153365,0.6294117647058823,0.6131479140328698,0.749034749034749,0.6743135210288494,0.5245549019737434,0.6654621145846904,0.5354298525910834,0.0038486815082559764
0.28,0.59,0.45448083187789673,0.607843137254902,0.631785480706344,0.745945945945946,0.6841359773371105,0.5321162930927065,0.6557103415350449,0.5424732988834263,0.0036638462170377065
0.29,0.59,0.46506531545914176,0.6019607843137256,0.644192256341789,0.7451737451737451,0.6910132474042249,0.5437250005790736,0.6530507670669599,0.5513828043466009,0.0035447301404748213
0.3,0.59,0.46944447491843233,0.592156862745098,0.6559945504087193,0.7436293436293436,0.6970684039087948,0.5507655663962352,0.6486181429534846,0.5566502545295704,0.0034379364166598207
0.31,0.59,0.46073185617984225,0.5647058823529412,0.665742024965326,0.7413127413127413,0.7014979905005481,0.5539737057745874,0.6362067954357541,0.557340935007485,0.00335578739834059
0.32,0.59,0.45617863607389947,0.5529411764705883,0.6708683473389355,0.7397683397683398,0.7036356959236136,0.554379166153452,0.630887646499584,0.5569054662209525,0.003314712889180974
0.33,0.59,0.4648910785384106,0.5529411764705883,0.6842857142857143,0.7397683397683398,0.7109461966604824,0.5605719833835032,0.630887646499584,0.5626640397986749,0.0031997042635340507
0.34,0.59,0.45737799049126676,0.5372549019607844,0.693033381712627,0.7374517374517374,0.714552936775159,0.5594928025170883,0.6237954479180237,0.5609025329839766,0.003133985048878666
0.35,0.59,0.4659056591741895,0.5372549019607844,0.7006603081438004,0.7374517374517374,0.7185854025583145,0.5690123904941231,0.6237954479180237,0.5677874919965952,0.0030723732851392427
