stage,epoch,train_loss,val_micro_precision,val_micro_recall,val_micro_f1,val_macro_precision,val_macro_recall,val_macro_f1,val_weighted_f1,val_hamming_loss,learning_rate,epoch_seconds,amp_skipped_steps,amp_skip_rate
STAGE 2 — ORIGINAL ONLY,1,0.08268648736158989,0.6243556701030928,0.7482625482625482,0.6807165437302424,0.5007258175731073,0.5850460961574571,0.5200157185935393,0.6754701633525377,0.0037336728826090526,1.8523887973640858e-05,42.130704164505005,1,0.17793594306049823
STAGE 2 — ORIGINAL ONLY,2,0.06051857862787262,0.6616541353383458,0.7474903474903475,0.7019579405366208,0.5287605927850868,0.573458045258573,0.5317555595888818,0.6919026135445723,0.0033763246529203974,1.4820428336079078e-05,43.75623059272766,0,0.0
STAGE 2 — ORIGINAL ONLY,3,0.034500049275521756,0.6701173222912353,0.7498069498069498,0.7077259475218659,0.5303566326048618,0.5819016240727264,0.5363487027684141,0.6995349779836824,0.0032941756346011666,1.1116968698517298e-05,42.57979416847229,0,0.0
STAGE 2 — ORIGINAL ONLY,4,0.020022266532387253,0.6874557051736357,0.749034749034749,0.7169253510716925,0.5257037697113999,0.5771009396244888,0.5353127437554182,0.7035551972382613,0.0031463074016265507,7.41350906095552e-06,42.01942777633667,0,0.0
STAGE 2 — ORIGINAL ONLY,5,0.013061827346533404,0.6868402533427164,0.7536679536679537,0.7187039764359352,0.5486219645073876,0.5915787552510618,0.5516938505410455,0.7086144304800911,0.0031380924997946274,3.71004942339374e-06,41.86892533302307,0,0.0
STAGE 2 — ORIGINAL ONLY,6,0.010135882697938163,0.6931254429482636,0.7552123552123552,0.7228381374722838,0.5420790832691399,0.5871218842743634,0.5475025978715589,0.7113843468484705,0.0030805881869711655,6.5897858319604616e-09,42.01054644584656,0,0.0
