Frequency_Group,n_labels,mean_precision,median_precision,mean_recall,median_recall,mean_f1,median_f1,f1_zero_count,f1_zero_percentage,f1_one_count,f1_one_percentage,total_test_support
Head,30,0.7976499181755946,0.8115763546798029,0.8338670548409165,0.849624060150376,0.8108661625458792,0.8237577639751552,0,0.0,0,0.0,1426
Medium,89,0.7566492291911125,0.75,0.6424356382342925,0.6666666666666666,0.6676470312622513,0.6666666666666666,1,1.1235955056179776,2,2.247191011235955,973
Tail,69,0.3654589371980676,0.0,0.2070048309178744,0.0,0.2514837819185645,0.0,39,56.52173913043478,2,2.898550724637681,183
