Frequency_Group,n_labels,mean_precision,median_precision,mean_recall,median_recall,mean_f1,median_f1,f1_zero_count,f1_zero_percentage,f1_one_count,f1_one_percentage,total_test_support
Head,22,0.8382283711310752,0.8603896103896104,0.7884313437148648,0.793060076945842,0.808134972896267,0.8125569290826284,0,0.0,0,0.0,1258
Medium,25,0.8719374253197781,0.875,0.7140288752168548,0.7222222222222222,0.7707784936763207,0.8,0,0.0,1,4.0,370
Tail,3,0.8888888888888888,1.0,0.47222222222222215,0.5,0.5777777777777778,0.6666666666666666,0,0.0,0,0.0,9
