model,dataset,scenario,group,n_labels,mean_precision,mean_recall,mean_f1,median_f1,f1_zero_pct,total_test_support
SecureBERT,cti-mitre,B1,Medium,89,0.7645305977323987,0.5850908889461267,0.6395299559801263,0.6666666666666666,3.3707865168539324,973
SecureBERT,cti-mitre,B1,Tail,69,0.5065217391304349,0.3268115942028985,0.3769611226132965,0.4,37.68115942028986,183
SecureBERT,cti-mitre,G1,Head,30,0.8212088469878196,0.826600810365316,0.8218250800900645,0.8356388137410036,0.0,1426
SecureBERT,cti-mitre,G1,Medium,89,0.738290370896619,0.6524266292419945,0.6747867178891396,0.68,0.0,973
SecureBERT,cti-mitre,G1,Tail,69,0.4794685990338163,0.3016908212560386,0.343531589183763,0.4,42.028985507246375,183
SecureBERT,cti-mitre,B2,Head,30,0.8545688624196877,0.7867611412835276,0.8149399530645468,0.8230848505668156,0.0,1426
SecureBERT,cti-mitre,B2,Medium,89,0.7781174410079391,0.6058147025192735,0.6605453873124926,0.7272727272727273,2.247191011235955,973
SecureBERT,cti-mitre,B2,Tail,69,0.4842995169082125,0.3028985507246376,0.3543593282723717,0.4,42.028985507246375,183
SecureBERT,joint,A0,Head,45,0.8189536019861099,0.7789487692947102,0.7954755299058707,0.8099173553719008,0.0,3258
SecureBERT,joint,A0,Medium,77,0.7680968603187251,0.4477298534988214,0.5365139984189061,0.5714285714285714,3.896103896103896,785
SecureBERT,joint,A0,Tail,66,0.3078282828282828,0.1702020202020202,0.2031144781144781,0.0,65.15151515151516,172
SecureBERT,joint,G0,Head,45,0.7967163218495641,0.7785246609437528,0.7853275105579628,0.7843137254901961,0.0,3258
SecureBERT,joint,G0,Medium,77,0.7115886416577983,0.584753969354106,0.6252522679242272,0.6666666666666666,0.0,785
SecureBERT,joint,G0,Tail,66,0.5517676767676767,0.459090909090909,0.4731000481000481,0.5857142857142856,31.818181818181817,172
SecureBERT,joint,B1,Head,45,0.8367121669099715,0.7572949170438786,0.7904551293019855,0.7932960893854749,0.0,3258
SecureBERT,joint,B1,Medium,77,0.7693923500741683,0.5371274040002679,0.6109091968716863,0.625,0.0,785
SecureBERT,joint,B1,Tail,66,0.577020202020202,0.4022727272727272,0.4457792207792208,0.5357142857142857,34.84848484848485,172
SecureBERT,joint,G1,Head,45,0.8216530547663704,0.7669673017984346,0.789630339131652,0.796875,0.0,3258
SecureBERT,joint,G1,Medium,77,0.758499096318243,0.5548332498366675,0.6232134563762006,0.6666666666666666,0.0,785
SecureBERT,joint,G1,Tail,66,0.5224747474747475,0.3588383838383838,0.4015873015873015,0.4,42.42424242424242,172
SecureBERT,joint,B2,Head,45,0.8365414176671875,0.7763941969265205,0.7980216272734993,0.8163265306122449,0.0,3258
SecureBERT,joint,B2,Medium,77,0.7612315893546391,0.5857122637368707,0.6418967495239546,0.6666666666666666,0.0,785
SecureBERT,joint,B2,Tail,66,0.5848484848484847,0.3848484848484848,0.443001443001443,0.5,36.36363636363637,172
SecureBERT,tram,A0,Head,22,0.8176799629035919,0.8334828349439355,0.8235606817195268,0.8296703296703297,0.0,1258
SecureBERT,tram,A0,Medium,25,0.8651949829234793,0.742541318166436,0.7886785433074265,0.8235294117647058,0.0,370
SecureBERT,tram,A0,Tail,3,0.5833333333333334,0.4166666666666667,0.419047619047619,0.4,33.33333333333333,9
SecureBERT,tram,G0,Head,22,0.8393088304111206,0.8357577430753583,0.8350709498665565,0.828428093645485,0.0,1258
SecureBERT,tram,G0,Medium,25,0.8314925105106825,0.8275121408855425,0.8237575434536007,0.8235294117647058,0.0,370
SecureBERT,tram,G0,Tail,3,0.9166666666666666,0.75,0.7523809523809524,0.8571428571428571,0.0,9
SecureBERT,tram,B1,Head,22,0.8361923579287207,0.8247414181149256,0.8282296740799636,0.8368700265251989,0.0,1258
SecureBERT,tram,B1,Medium,25,0.824251852447518,0.8003954838927245,0.8067300038632206,0.8387096774193549,0.0,370
SecureBERT,tram,B1,Tail,3,0.8666666666666667,0.75,0.7166666666666667,0.75,0.0,9
SecureBERT,tram,G1,Head,22,0.8644561462018637,0.8296832651704666,0.8447974889854533,0.8376580796252927,0.0,1258
SecureBERT,tram,G1,Medium,25,0.8970378300824525,0.7889631034077124,0.8337877283316948,0.8484848484848485,0.0,370
SecureBERT,tram,G1,Tail,3,1.0,0.75,0.7999999999999999,1.0,0.0,9
SecureBERT,tram,B2,Head,22,0.852859599946516,0.8354020756498811,0.8417278010269139,0.8431372549019608,0.0,1258
