stage,epoch,train_loss,val_micro_precision,val_micro_recall,val_micro_f1,val_macro_precision,val_macro_recall,val_macro_f1,val_weighted_f1,val_hamming_loss,learning_rate,epoch_seconds,amp_skipped_steps,amp_skip_rate
STAGE 2 — ORIGINAL ONLY,1,0.05291556779055807,0.7348886532343585,0.8440925700365408,0.7857142857142857,0.7362761201300388,0.7886199178918011,0.7450972868546267,0.7851117556858233,0.010470914127423823,1.8514219384793964e-05,32.067429065704346,0,0.0
STAGE 2 — ORIGINAL ONLY,2,0.03962440356002029,0.76013143483023,0.8453105968331304,0.8004613610149942,0.7494933974677228,0.7970230262886165,0.7556578219402976,0.8007430438596677,0.009584487534626039,1.4811375507835173e-05,31.65628433227539,0,0.0
STAGE 2 — ORIGINAL ONLY,3,0.02428064711514545,0.7612903225806451,0.8623629719853837,0.80868075385494,0.7551226295014807,0.81811039356349,0.7750984854946527,0.809545069757731,0.0092797783933518,1.1120139291932677e-05,31.88948678970337,1,0.31347962382445144
STAGE 2 — ORIGINAL ONLY,4,0.015215300135409348,0.7873303167420814,0.8477466504263094,0.8164222873900293,0.7746534288601749,0.8093495359400508,0.7795532451399907,0.8155024363632257,0.008670360110803323,7.417295414973883e-06,32.04349660873413,0,0.0
STAGE 2 — ORIGINAL ONLY,5,0.010202329685009408,0.7893544733861835,0.8489646772228989,0.818075117370892,0.7835917522792945,0.8051229488004246,0.7787629152038715,0.8168111014043168,0.008587257617728532,3.7144515380150902e-06,31.961276531219482,0,0.0
STAGE 2 — ORIGINAL ONLY,6,0.00811295620292399,0.7904869762174406,0.8501827040194885,0.8192488262910798,0.7962757167628378,0.8051764113982947,0.7824389699084745,0.8178539484347161,0.00853185595567867,1.1607661056297156e-08,31.933532238006592,0,0.0
