Technique_ID,Original_Train_Support,Frequency_Group,Augmented_Train_Support,Validation_Support,Test_Support,TP,FP,FN,Precision,Recall,F1,Threshold,Threshold_Fallback
T1112,232,Head,203,29,58,31,20,27,0.6078431372549019,0.5344827586206896,0.5688073394495412,0.49,True
T1113,134,Head,117,17,33,24,1,9,0.96,0.7272727272727273,0.8275862068965517,0.49,True
T1114,41,Medium,78,5,10,4,4,6,0.5,0.4,0.4444444444444445,0.49,True
T1115,25,Medium,78,3,6,4,0,2,1.0,0.6666666666666666,0.8,0.49,True
T1119,38,Medium,78,5,10,1,5,9,0.16666666666666666,0.1,0.125,0.49,True
T1120,35,Medium,78,4,9,4,3,5,0.5714285714285714,0.4444444444444444,0.5,0.49,True
T1123,22,Medium,78,3,5,2,1,3,0.6666666666666666,0.4,0.5,0.49,True
T1124,51,Medium,78,6,13,12,2,1,0.8571428571428571,0.9230769230769231,0.888888888888889,0.49,True
T1125,22,Medium,78,3,5,1,2,4,0.3333333333333333,0.2,0.25,0.49,True
T1127,10,Tail,78,1,3,1,0,2,1.0,0.3333333333333333,0.5,0.49,True
T1129,17,Tail,78,2,4,1,4,3,0.2,0.25,0.22222222222222224,0.49,True
T1132,75,Medium,78,9,19,11,7,8,0.6111111111111112,0.5789473684210527,0.5945945945945946,0.49,True
T1133,30,Medium,78,4,8,2,8,6,0.2,0.25,0.22222222222222224,0.49,True
T1134,59,Medium,78,7,15,3,0,12,1.0,0.2,0.33333333333333337,0.49,True
T1135,35,Medium,78,4,9,3,4,6,0.42857142857142855,0.3333333333333333,0.375,0.49,True
T1136,31,Medium,78,4,8,5,5,3,0.5,0.625,0.5555555555555556,0.49,True
T1137,43,Medium,78,5,11,5,1,6,0.8333333333333334,0.45454545454545453,0.5882352941176471,0.49,True
T1140,704,Head,616,88,176,130,25,46,0.8387096774193549,0.7386363636363636,0.7854984894259819,0.49,True
T1176,13,Tail,78,2,3,2,1,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.49,True
T1185,17,Tail,78,2,4,0,1,4,0.0,0.0,0.0,0.49,True
T1187,14,Tail,78,2,4,0,1,4,0.0,0.0,0.0,0.49,True
T1189,42,Medium,78,5,10,1,3,9,0.25,0.1,0.14285714285714288,0.49,True
T1190,101,Head,88,13,25,8,0,17,1.0,0.32,0.48484848484848486,0.49,True
T1195,22,Medium,78,3,6,2,0,4,1.0,0.3333333333333333,0.5,0.49,True
T1197,17,Tail,78,2,4,2,3,2,0.4,0.5,0.4444444444444445,0.49,True
T1199,9,Tail,78,1,2,0,1,2,0.0,0.0,0.0,0.49,True
T1200,3,Tail,78,0,1,0,0,1,0.0,0.0,0.0,0.49,True
T1201,8,Tail,78,1,2,0,2,2,0.0,0.0,0.0,0.49,True
T1202,4,Tail,78,1,1,0,1,1,0.0,0.0,0.0,0.49,True
T1203,50,Medium,78,6,12,6,5,6,0.5454545454545454,0.5,0.5217391304347826,0.49,True
T1204,279,Head,244,35,70,34,8,36,0.8095238095238095,0.4857142857142857,0.6071428571428571,0.49,True
