threshold,micro_f1,macro_f1
0.05,0.08037297927329853,0.06642246536583853
0.06,0.08966729014339965,0.07344051589231508
0.07,0.09973421085938489,0.08128456082967302
0.08,0.1100762066045724,0.08950975477713435
0.09,0.12166405023547881,0.09856595230553973
0.1,0.1338562091503268,0.10820236190641852
0.11,0.1468774094063223,0.11941133834887893
0.12,0.1605187626235782,0.13080187670397725
0.13,0.1750291715285881,0.14261789108723877
0.14,0.19256582343830667,0.1581368757466544
0.15,0.20991336457889503,0.17225440046859647
0.16,0.22753375756635108,0.18749437922508502
0.17,0.24816771774331003,0.20541639600877268
0.18,0.2684563758389262,0.2234509997558218
0.19,0.28895184135977336,0.24307628963420996
0.2,0.31188227542279817,0.26251265937917423
0.21,0.33595051153937666,0.2868395074604204
0.22,0.3611111111111111,0.31191415717879495
0.23,0.38480594549958713,0.33854181431718705
0.24,0.4063510732137607,0.35936154954352134
0.25,0.4292438029494823,0.38472363736942633
0.26,0.45266666666666666,0.41232941152201563
0.27,0.4788632326820604,0.43840395772824053
0.28,0.5011320754716981,0.46503327195562977
0.29,0.5252284465633691,0.49614132905199676
0.3,0.5479566305254379,0.51960189331837
0.31,0.5718038528896673,0.5538258740427268
0.32,0.5918832649338805,0.5753032260964439
0.33,0.608286252354049,0.5940042338471704
0.34,0.6267639902676398,0.6126467925452018
0.35,0.6434694906707009,0.6286384763086972
0.36,0.6576200417536534,0.6428646530103683
0.37,0.6709746903607969,0.6537561783096874
0.38,0.679162072767365,0.6625302417787695
0.39,0.6920022688598979,0.6776969629875568
0.4,0.7004072134962187,0.6860198750017752
0.41,0.708185053380783,0.692251549518603
0.42,0.7191283292978208,0.7002078312666024
0.43,0.7264904732636754,0.7031475151012552
0.44,0.7346683354192741,0.7170802309098938
0.45,0.7399872854418309,0.7199991964025749
0.46,0.7428940568475452,0.7219052165715918
0.47,0.745608327911516,0.7280633740629129
0.48,0.7445830597504924,0.7296398019386804
0.49,0.7448641484426772,0.732003189616983
0.5,0.7433155080213903,0.7310748308679522
0.51,0.7445945945945946,0.7302097946855374
0.52,0.73806275579809,0.7173256955068769
0.53,0.7391603578802478,0.7158551507048898
0.54,0.7353144436765722,0.7133469278502915
0.55,0.733983286908078,0.7124875380500617
0.56,0.7331460674157303,0.7082612375668557
0.57,0.7306064880112835,0.7076221116219196
0.58,0.7270135424091233,0.705414248868625
0.59,0.7249283667621776,0.703534356930455
0.6,0.7247838616714697,0.7025399705394773
0.61,0.7214545454545455,0.6854647798901837
0.62,0.7180616740088106,0.6761848665609302
0.63,0.7120651369356032,0.6688684823488092
0.64,0.706408345752608,0.6593093099879475
0.65,0.6992481203007519,0.6490446216420308
0.66,0.6955201214882308,0.6429738415685021
0.67,0.6890756302521008,0.6314636691510274
0.68,0.6810146041506533,0.621996048999114
0.69,0.674400618716164,0.6174726317008272
0.7,0.670817120622568,0.6115827660206876
0.71,0.6635367762128326,0.6033045998260028
0.72,0.6561762391817466,0.5915709963373641
0.73,0.6492478226444972,0.5831456338431876
0.74,0.6384,0.5697644437648308
0.75,0.6355591311343524,0.5596719752940145
0.76,0.6200162733930025,0.5501063632448261
0.77,0.605761316872428,0.5275216343400753
0.78,0.5935162094763092,0.5059941216079337
0.79,0.5808080808080808,0.4852088242670032
0.8,0.5733672603901612,0.4729224336580795
0.81,0.5588993981083406,0.46398495350597607
0.82,0.5514261019878998,0.45892801210808576
0.83,0.5333333333333333,0.44250839517471924
0.84,0.5177304964539007,0.4244433005663726
0.85,0.4954954954954955,0.4099898930887005
0.86,0.4781021897810219,0.3847237089337777
0.87,0.4568245125348189,0.3700843312149732
0.88,0.4354382657869934,0.34116911094888924
0.89,0.4220532319391635,0.3321557151646903
0.9,0.3961352657004831,0.2986171942754961
0.91,0.37732160312805474,0.28741917979565224
0.92,0.3535253227408143,0.2721552672690561
0.93,0.32525252525252524,0.25070924117708837
0.94,0.28778467908902694,0.2294217361834465
0.95,0.2555438225976769,0.20771587778843892
