stage,epoch,train_loss,val_micro_precision,val_micro_recall,val_micro_f1,val_macro_precision,val_macro_recall,val_macro_f1,val_weighted_f1,val_hamming_loss,learning_rate,epoch_seconds,amp_skipped_steps,amp_skip_rate
STAGE 1 — GENERIC,1,1.317539266078088,0.5106888361045131,0.4980694980694981,0.5043002345582487,0.3335737675286813,0.26780960933980646,0.2603191372776055,0.44568810416220894,0.005208247761439251,2.7779549077658848e-05,49.72890043258667,1,0.12300123001230012
STAGE 1 — GENERIC,2,0.3965213618631879,0.5974603174603175,0.7266409266409266,0.6557491289198606,0.5065453992249288,0.5627822835555045,0.5061464110453898,0.6478351362769668,0.004058161504970016,2.2225005693463904e-05,49.78366231918335,0,0.0
STAGE 1 — GENERIC,3,0.20203308532012199,0.6319135410044501,0.7675675675675676,0.6931659693165969,0.5241413112973752,0.6265059828395755,0.5510204159118955,0.6904829195571988,0.003614556806046168,1.667046230926896e-05,49.53278851509094,0,0.0
STAGE 1 — GENERIC,4,0.11626908539589334,0.6550161812297735,0.7814671814671814,0.7126760563380282,0.5641242787563149,0.6472661893416568,0.5804146825517157,0.7108042583292533,0.003351679947424628,1.1115918925074015e-05,49.66207027435303,0,0.0
STAGE 1 — GENERIC,5,0.07195069212443568,0.6755496335776149,0.783011583011583,0.7253218884120172,0.576063795645295,0.6561510783724872,0.5941767681779607,0.7214978807025109,0.0031545223034584735,5.568207697563198e-06,49.481844902038574,1,0.12300123001230012
STAGE 1 — GENERIC,6,0.05072830043971392,0.6794701986754967,0.7922779922779922,0.7315508021390374,0.5830018926484427,0.6544743684837971,0.5980708515350665,0.7256176330912676,0.00309291053971905,1.3664313368253246e-08,49.76981997489929,0,0.0
