Model,Accuracy (Top-1),Accuracy (Top-3),Macro-Precision,Weighted-Precision,Macro-Recall,Weighted-Recall,Macro-F1,Weighted-F1,Augmentation
Logistic Regression (balanced),0.6737044145873321,0.8410108765195138,0.5770081708392436,0.6914633811025359,0.6160305752590111,0.6737044145873321,0.5857793667246803,0.6748511595845749,With Augmentation (EDA+BT)
Linear SVC (balanced),0.7120921305182342,0.8477287268074216,0.6368676408408612,0.711403789968181,0.6155299146598148,0.7120921305182342,0.6147838567535648,0.70657035779325,With Augmentation (EDA+BT)
Random Forest (max_depth=30),0.5626999360204734,0.7207293666026872,0.5377859945646654,0.6124999265643715,0.518506660727937,0.5626999360204734,0.486706942647859,0.5489587870404051,With Augmentation (EDA+BT)
Logistic Regression (balanced),0.663147792706334,0.8259756877799105,0.5734132769152326,0.6865952337369867,0.6206113089141829,0.663147792706334,0.5839573056428892,0.6650183050610393,Without Augmentation
Linear SVC (balanced),0.7130518234165067,0.8570057581573897,0.6320715631083309,0.716831497511684,0.6320106266293563,0.7130518234165067,0.6208445451636595,0.7095644389698923,Without Augmentation
Random Forest (max_depth=30),0.5694177863083814,0.738003838771593,0.5547175598373194,0.6079127807012025,0.3463661455847679,0.5694177863083814,0.37897291202017513,0.5333019551418506,Without Augmentation
