Model,Accuracy (Top-1),Accuracy (Top-3),Macro-Precision,Weighted-Precision,Macro-Recall,Weighted-Recall,Macro-F1,Weighted-F1,Augmentation
Logistic Regression (balanced),0.7005758157389635,0.8483685220729367,0.6728158850350388,0.698363361029171,0.5769909633808339,0.7005758157389635,0.6009711856232718,0.6905406181907069,With Augmentation (EDA+BT)
Linear SVC (balanced),0.6845809341010877,0.8246960972488804,0.6078855943804728,0.6789846545224507,0.5756299020074521,0.6845809341010877,0.5798867531674478,0.6761627145268078,With Augmentation (EDA+BT)
Random Forest (max_depth=30),0.5655790147152912,0.7207293666026872,0.523482219678417,0.6055564161740687,0.5226308572238142,0.5655790147152912,0.48706270093895077,0.5518977040525596,With Augmentation (EDA+BT)
Logistic Regression (balanced),0.6986564299424184,0.846129238643634,0.6572430209754367,0.6924572424646471,0.5537874615386076,0.6986564299424184,0.5809001116698471,0.6856121690348759,Without Augmentation
Linear SVC (balanced),0.6842610364683301,0.8333333333333334,0.6481366228087263,0.6781198483431295,0.5664377079987276,0.6842610364683301,0.5893746185999207,0.6740078663015727,Without Augmentation
Random Forest (max_depth=30),0.5732565579014716,0.7476007677543186,0.528517437235865,0.597554743608407,0.3487572071632903,0.5732565579014716,0.37920694314490816,0.5367935292198505,Without Augmentation
