threshold,micro_f1,macro_f1
0.05,0.02640952132742594,0.02253952414456769
0.06,0.030812684555141866,0.026066483827866166
0.07,0.035602568945976576,0.029856845182076146
0.08,0.040784673140983836,0.03391038764116842
0.09,0.04682397880598854,0.03873243624422654
0.1,0.05301067344949723,0.043524215742840155
0.11,0.060436393577603956,0.0493600155553869
0.12,0.06849749476755249,0.05576453909310799
0.13,0.07689787001638448,0.0624672271137766
0.14,0.08696379995815023,0.06972722483343094
0.15,0.09777735381093199,0.07804780191676762
0.16,0.10962029442120702,0.08737745194626588
0.17,0.12191974436182634,0.0964621379316597
0.18,0.1362977283711938,0.10666299274375919
0.19,0.15226689478186484,0.11882253640559287
0.2,0.1670011342814763,0.12921923121760512
0.21,0.18388328600802897,0.14113352770467444
0.22,0.2017026850032744,0.1537273563965617
0.23,0.22369065100342633,0.17006904725065125
0.24,0.2441084320937202,0.18376131450583805
0.25,0.2620192307692308,0.19331525979036474
0.26,0.2831215970961887,0.20953135780324167
0.27,0.3065772784924805,0.2241906958907611
0.28,0.32756586708611873,0.23641391157163036
0.29,0.35223367697594504,0.25191912478653256
0.3,0.37551963048498843,0.2677290063994617
0.31,0.40009928021841645,0.28396735948066665
0.32,0.42289348171701113,0.2950829832350829
0.33,0.44293015332197616,0.30812528036793746
0.34,0.4617691154422789,0.31973499625607693
0.35,0.477602523659306,0.3316498964730716
0.36,0.4920844327176781,0.3412566252425662
0.37,0.5043058904581468,0.3498679401963003
0.38,0.51931330472103,0.3628276871975083
0.39,0.5283438310485365,0.3645393218304416
0.4,0.5345622119815668,0.3660763842251778
0.41,0.5450949367088608,0.3683629000086674
0.42,0.5516680227827502,0.3684706653299583
0.43,0.5549084858569051,0.3693307410307637
0.44,0.5601023017902813,0.37149729351263655
0.45,0.5674499564838991,0.3755531961795437
0.46,0.5721901377165705,0.37844794331678533
0.47,0.5738816086760055,0.3699923636179918
0.48,0.5722145804676754,0.36708511099829644
0.49,0.5730284647690154,0.36637089234517156
0.5,0.5715635333018422,0.3620127368139855
0.51,0.5707479752262983,0.3513024535430905
0.52,0.5675675675675675,0.3463265544632779
0.53,0.5665362035225049,0.34530974588353225
0.54,0.5650667986145472,0.3416780676300625
0.55,0.56071964017991,0.33911705119125946
0.56,0.5560040363269425,0.33417304625999933
0.57,0.5503560528992879,0.32898761409022614
0.58,0.548436699128652,0.3254605762090797
0.59,0.5467700258397933,0.32367373116219905
0.6,0.5387029288702929,0.3198145807280493
0.61,0.5287598944591029,0.3124385992349654
0.62,0.5231752797016516,0.3019931497032299
0.63,0.5118534482758621,0.2929408475973931
0.64,0.5057096247960848,0.28952301098942146
0.65,0.49890350877192985,0.2768970956945513
0.66,0.4944690265486726,0.273170485304049
0.67,0.48633575013943114,0.26360254353402524
0.68,0.4786036036036036,0.25891980838893164
0.69,0.4673109721432632,0.24997926919166605
0.7,0.4592422502870264,0.24523801101961512
0.71,0.45674740484429066,0.24384686478329629
0.72,0.44947735191637633,0.24057211911414997
0.73,0.44053895723491504,0.23428523267931883
0.74,0.42984014209591476,0.2262202984111416
0.75,0.4231227651966627,0.22243298678351392
0.76,0.41130487071557426,0.21695894451387407
0.77,0.3970856102003643,0.206796301171323
0.78,0.3897373243738546,0.2001505052038459
0.79,0.37731196054254007,0.19028628247698018
0.8,0.37174721189591076,0.18723626281387626
0.81,0.360450563204005,0.17157563697433115
0.82,0.3461781427668983,0.16414567224633225
0.83,0.3273657289002558,0.15372904817469973
0.84,0.31116849580374434,0.14664688586374153
0.85,0.3038961038961039,0.14494429356994132
0.86,0.2905759162303665,0.14012152337391393
0.87,0.2728476821192053,0.12344105039627457
0.88,0.25668449197860965,0.11480171722096248
0.89,0.2449528936742934,0.10575165298975166
0.9,0.23129251700680273,0.09814166436296641
0.91,0.21305841924398625,0.09133309855918996
0.92,0.1894150417827298,0.08373427271053392
0.93,0.16124469589816123,0.07167824476704825
0.94,0.14040114613180515,0.05648524028584513
0.95,0.11345454545454546,0.039679817338262265
