Technique_ID,Original_Train_Support,Frequency_Group,Augmented_Train_Support,Validation_Support,Test_Support,TP,FP,FN,Precision,Recall,F1,Threshold,Threshold_Fallback
T1001,46,Medium,48,6,11,0,2,11,0.0,0.0,0.0,0.47,True
T1003,122,Head,107,15,30,12,7,18,0.631578947368421,0.4,0.4897959183673469,0.47,True
T1005,89,Medium,78,11,22,11,7,11,0.6111111111111112,0.5,0.55,0.47,True
T1006,4,Tail,48,1,1,0,0,1,0.0,0.0,0.0,0.47,True
T1007,39,Medium,48,5,10,4,0,6,1.0,0.4,0.5714285714285715,0.47,True
T1008,35,Medium,48,4,9,4,0,5,1.0,0.4444444444444444,0.6153846153846153,0.47,True
T1010,20,Medium,48,3,5,3,2,2,0.6,0.6,0.6,0.47,True
T1011,6,Tail,48,1,2,1,0,1,1.0,0.5,0.6666666666666666,0.47,True
T1012,68,Medium,59,9,17,4,2,13,0.6666666666666666,0.23529411764705882,0.3478260869565218,0.47,True
T1014,22,Medium,48,3,5,2,0,3,1.0,0.4,0.5714285714285715,0.47,True
T1016,155,Head,136,19,39,26,9,13,0.7428571428571429,0.6666666666666666,0.7027027027027027,0.47,True
T1018,46,Medium,48,6,12,1,1,11,0.5,0.08333333333333333,0.14285714285714285,0.47,True
T1020,21,Medium,48,3,5,3,6,2,0.3333333333333333,0.6,0.42857142857142855,0.47,True
T1021,120,Head,105,15,30,14,7,16,0.6666666666666666,0.4666666666666667,0.5490196078431373,0.47,True
T1025,21,Medium,48,3,5,2,1,3,0.6666666666666666,0.4,0.5,0.47,True
T1027,393,Head,344,49,98,54,31,44,0.6352941176470588,0.5510204081632653,0.5901639344262295,0.47,True
T1029,14,Tail,48,2,4,0,0,4,0.0,0.0,0.0,0.47,True
T1030,10,Tail,48,1,3,1,3,2,0.25,0.3333333333333333,0.28571428571428575,0.47,True
T1033,123,Head,108,15,31,23,7,8,0.7666666666666667,0.7419354838709677,0.7540983606557377,0.47,True
T1036,219,Head,192,27,55,24,8,31,0.75,0.43636363636363634,0.5517241379310345,0.47,True
T1037,37,Medium,48,5,9,1,6,8,0.14285714285714285,0.1111111111111111,0.125,0.47,True
