Frequency_Group,n_labels,mean_precision,median_precision,mean_recall,median_recall,mean_f1,median_f1,f1_zero_count,f1_zero_percentage,f1_one_count,f1_one_percentage,total_test_support
Head,22,0.8644561462018637,0.8845687984496124,0.8296832651704666,0.8351376146788991,0.8447974889854533,0.8376580796252927,0,0.0,1,4.545454545454546,1258
Medium,25,0.8970378300824525,0.8947368421052632,0.7889631034077124,0.7777777777777778,0.8337877283316948,0.8484848484848485,0,0.0,2,8.0,370
Tail,3,1.0,1.0,0.75,1.0,0.7999999999999999,1.0,0,0.0,2,66.66666666666666,9
