Frequency_Group,n_labels,mean_precision,median_precision,mean_recall,median_recall,mean_f1,median_f1,f1_zero_count,f1_zero_percentage,f1_one_count,f1_one_percentage,total_test_support
Head,45,0.7967163218495641,0.8055555555555556,0.7785246609437528,0.8045977011494253,0.7853275105579628,0.7843137254901961,0,0.0,0,0.0,3258
Medium,77,0.7115886416577983,0.7142857142857143,0.584753969354106,0.5714285714285714,0.6252522679242272,0.6666666666666666,0,0.0,2,2.5974025974025974,785
Tail,66,0.5517676767676767,0.5833333333333333,0.45909090909090905,0.5,0.4731000481000481,0.5857142857142856,21,31.818181818181817,8,12.121212121212121,172
