micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,weighted_f1,hamming_loss,avg_predicted_labels,threshold
0.005617798460484167,1.0,0.011172830212600734,0.005676733542656589,0.9840425531914894,0.011098816772374027,0.044558028287338194,0.9770921637817636,184.73110893032384,0.05
0.005811972388322195,1.0,0.011556777107199353,0.0059074389487026365,0.9840425531914894,0.011538137379988336,0.04639454175333926,0.9442637754995511,178.5593719332679,0.06
0.0061752749356316,0.9990543735224586,0.01227467861022522,0.006278991777603526,0.9838485455853634,0.012246908836467408,0.049069120770474935,0.8875514166997265,167.8954857703631,0.07
0.006762709312420512,0.9981087470449173,0.013434393574910585,0.006821943829739058,0.9836102974343762,0.01328403002025337,0.052611464980194395,0.8092153341824484,153.16633954857704,0.08
0.007633808623202294,0.9981087470449173,0.015151732651947978,0.007591758628569215,0.9836102974343762,0.014748721377123655,0.057648687860974046,0.7162476771135656,135.68842001962707,0.09
0.008831103573896113,0.9971631205673759,0.01750715975594571,0.008613474877469515,0.9833428355142669,0.016685954299333037,0.06400893048350449,0.6178147119620822,117.1810598626104,0.1
0.010408116847799215,0.9952718676122931,0.020600799565474823,0.009865124351443912,0.9791766004565696,0.019052370968765983,0.07119700802909239,0.5223910592362141,99.23748773307165,0.11
0.012459988144635448,0.9938534278959811,0.02461142171354975,0.011466610170402246,0.9761314857093272,0.022062171974326375,0.08014892515841572,0.43485217046332447,82.77723258096172,0.12
0.015058745656131061,0.9895981087470449,0.02966606191178138,0.013375701563303012,0.9688185403183597,0.02562668447107477,0.09018466300298236,0.3573538930532646,68.19872423945044,0.13
0.01841576833650391,0.9886524822695035,0.03615801623738749,0.01578275021174624,0.9686158412924035,0.030094515881072568,0.10208521518656459,0.29095327083289835,55.71344455348381,0.14
0.022490601909864755,0.9843971631205674,0.043976469842745045,0.018588750792019073,0.9650530396332144,0.0352579961791391,0.11518660577965974,0.2362636502202827,45.42296368989205,0.15
0.02742152999973557,0.9806146572104019,0.05335116850377497,0.021905566709878203,0.9588803045484806,0.04130882365791139,0.12965688708947481,0.1920974881506692,37.11187438665358,0.16
0.033324738945468606,0.9777777777777777,0.06445279020118122,0.025793689223025353,0.957491208772374,0.04833378975697621,0.14565198363303822,0.15669043492786003,30.44946025515211,0.17
0.040217838462593296,0.9706855791962175,0.07723561942741056,0.030217794389316176,0.9422033734719035,0.05623832093669665,0.16227001693399365,0.12803541227319232,25.047595682041216,0.18
0.04854943753700414,0.9692671394799054,0.09246729815065403,0.03554165619270144,0.9392556784364426,0.06565240574920982,0.18144574813062658,0.10502578664940597,20.71884200196271,0.19
0.05798381581946661,0.9621749408983451,0.10937625970815082,0.041406211749685624,0.9249214272931758,0.0758689952502571,0.20083721529121412,0.08649750485457165,17.22080471050049,0.2
0.06892678443786378,0.9574468085106383,0.12859592303295866,0.048342230698810676,0.9125187979472292,0.08780026803914957,0.22153839762619648,0.07162842169001733,14.415603532875368,0.21
0.08122358623465487,0.9541371158392435,0.1497032640949555,0.055982080631965775,0.8984929043642819,0.10079561659066996,0.24230126271731284,0.05983129058526298,12.190873405299312,0.22
0.09448633364750236,0.9479905437352246,0.1718448682236983,0.06453693704408363,0.8866298924272601,0.11495671609122803,0.2646890737400504,0.05043795544234022,10.41216879293425,0.23
0.10958979434730012,0.9423167848699764,0.19634500763509186,0.07444245195243841,0.8793089574648706,0.1311121898476005,0.2875865516996571,0.04258190132169628,8.923454367026496,0.24
0.12512632642748864,0.9366430260047282,0.22076112999387085,0.08487532351163254,0.865022180646777,0.14744346452807228,0.30986762093423564,0.036500636836280874,7.768400392541707,0.25
0.14257798364333793,0.9314420803782506,0.24730102937484308,0.09778381845131488,0.8544492291148834,0.16729656238354987,0.33253285480095635,0.03129893721420667,6.779685966633955,0.26
0.16098002137630518,0.9257683215130024,0.27426810477657937,0.109245994082242,0.8377451365532166,0.18456092945863117,0.3556796182647951,0.027044662059173573,5.96810598626104,0.27
0.18104089219330854,0.9210401891252955,0.3026019417475728,0.12383523397790484,0.8306758837730588,0.20607168354113523,0.3790753242986495,0.023435053139289667,5.279685966633955,0.28
0.20218408736349455,0.9191489361702128,0.33145780051150897,0.1406864341107132,0.8276819352685878,0.22992059575897697,0.40350667400673884,0.020467500469797256,4.717860647693818,0.29
0.22411990240501917,0.9120567375886525,0.35982092893116957,0.15924997209509154,0.812478855176054,0.2537357573869408,0.4263076555545946,0.0179149353767774,4.223258096172718,0.3
0.24608271256100694,0.9059101654846335,0.387031612968387,0.17451965953900767,0.7968767408617063,0.2734952976601184,0.4486217524877516,0.015839997494414632,3.8204121687929344,0.31
0.2686271737593666,0.8983451536643026,0.413582934262081,0.19210942845130197,0.776628418016244,0.29380238177585877,0.46906270694547453,0.014062597874428413,3.470559371933268,0.32
0.2924895039651687,0.8893617021276595,0.44020594430142757,0.2114197306723616,0.7515796937367331,0.3133863360077334,0.4901497425477653,0.012486167080784248,3.1555446516192345,0.33
0.31487714574217435,0.8846335697399527,0.4644408588804766,0.23590533404136058,0.7414161150656394,0.33875829311096156,0.5107169879250522,0.0112620842294281,2.915603532875368,0.34
0.3383608940577867,0.8803782505910166,0.48884221580467313,0.25090367395252144,0.7325994853449248,0.3552079970986188,0.5281442247748813,0.010163280646441024,2.700196270853778,0.35
