stage,epoch,train_loss,val_micro_precision,val_micro_recall,val_micro_f1,val_macro_precision,val_macro_recall,val_macro_f1,val_weighted_f1,val_hamming_loss,learning_rate,epoch_seconds,amp_skipped_steps,amp_skip_rate
STAGE 1 — ORIGINAL,1,1.4083018287254327,0.49568655643422,0.6520094562647755,0.5632019603839085,0.24639724849700784,0.25607213068234386,0.2251089508302311,0.5267845955130761,0.005582757396696804,1.851851851851852e-05,86.6856837272644,0,0.0
STAGE 1 — ORIGINAL,2,0.3980640743732114,0.5445544554455446,0.7541371158392435,0.6324345757335448,0.3720753017268158,0.428827093566207,0.3752740706382762,0.6211978445938203,0.004838911740755434,1.4814814814814815e-05,85.09834432601929,0,0.0
STAGE 1 — ORIGINAL,3,0.2547568775819276,0.5771369006254343,0.7853427895981088,0.6653314640496696,0.4023618712208275,0.4996810170492863,0.42906729073891886,0.6596148786515386,0.0043612845300983446,1.1115319865319867e-05,84.62424921989441,1,0.11363636363636363
STAGE 1 — ORIGINAL,4,0.17653679320038382,0.6074020319303338,0.7914893617021277,0.6873331964688976,0.4499636540066614,0.5361989130893222,0.46759513829061145,0.683917062114449,0.00397500678596037,7.411616161616162e-06,85.25374054908752,0,0.0
STAGE 1 — ORIGINAL,5,0.1279698920806616,0.6310643098909364,0.7933806146572104,0.7029744449099288,0.45932991657222955,0.5489140789241687,0.4855581947901209,0.697978724918965,0.0037009583864030236,3.707912457912458e-06,84.49652242660522,0,0.0
STAGE 1 — ORIGINAL,6,0.10299535514363511,0.6363293051359517,0.7966903073286052,0.7075372664287214,0.474920656124038,0.5603677161507451,0.498245190360438,0.7022388049962774,0.003635708767460798,8.417508417508418e-09,85.15902185440063,1,0.11363636363636363
