stage,epoch,train_loss,val_micro_precision,val_micro_recall,val_micro_f1,val_macro_precision,val_macro_recall,val_macro_f1,val_weighted_f1,val_hamming_loss,val_true_labels_per_sample,val_predicted_labels_per_sample,epoch_seconds
stage1,1,1.1881103473919126,0.6178403755868545,0.3111111111111111,0.4138364779874214,0.22942987461775663,0.10799287593660345,0.1361115442644638,0.3688460572179169,0.0048650115883323245,1.0377821393523061,0.5225711481844946,10.763668060302734
stage1,2,0.6708938290009345,0.6354166666666666,0.4037825059101655,0.49378433073142525,0.36458739589040684,0.1810434449281833,0.2224963744411047,0.4590040998480866,0.004570083310713465,1.0377821393523061,0.6594700686947988,10.237426996231079
stage1,3,0.5152871008343322,0.6578073089700996,0.46808510638297873,0.5469613259668509,0.41760699581165645,0.2408558766160932,0.28287309418087697,0.5144707760485466,0.004280375002609985,1.0377821393523061,0.73846908734053,10.431652784347534
stage1,4,0.42683221734299953,0.646211646837821,0.4879432624113475,0.5560344827586207,0.4127249248710076,0.2846216225339107,0.31391163761181634,0.5360568138787806,0.004301254880671497,1.0377821393523061,0.7836113837095191,10.673934936523438
stage1,5,0.3653005702154977,0.689873417721519,0.5153664302600472,0.5899864682002707,0.43716991193669624,0.2719727289597113,0.3199146739008967,0.5668411478506732,0.003954126907898858,1.0377821393523061,0.7752698724239451,10.904780149459839
stage1,6,0.3198120876408179,0.681087762669963,0.5210401891252955,0.5904098580230378,0.42997005962233537,0.28803258490304695,0.3269137422945501,0.5693814246669359,0.003990666694506504,1.0377821393523061,0.7939156035328754,11.141307353973389
stage1,7,0.28377024681679364,0.7293035479632063,0.524822695035461,0.6103931811932912,0.49587694888140404,0.31918660350749845,0.36866340261441266,0.5878672698442706,0.0036983484016453344,1.0377821393523061,0.746810598626104,11.476865768432617
stage1,8,0.25664750892810156,0.7202842377260982,0.5271867612293144,0.6087906087906088,0.45198071223128594,0.30728773719999736,0.3510309929192223,0.588571776158255,0.0037401081577683585,1.0377821393523061,0.7595682041216879,11.709484100341797
stage1,9,0.23435806524301758,0.7047855811062772,0.5361702127659574,0.6090225563909775,0.430451795061137,0.303857629724216,0.34460626166606895,0.5892066984278462,0.003800137807195206,1.0377821393523061,0.7894995093228655,11.441679000854492
stage1,10,0.2142949474883149,0.7110410094637224,0.5328605200945626,0.6091891891891892,0.46510563817835243,0.32210974062153397,0.36273783655964065,0.5923485515293764,0.003774037959618316,1.0377821393523061,0.7777232580961727,11.191724300384521
