threshold,micro_f1,macro_f1
0.05,0.026859586714097286,0.016965968533756724
0.06,0.03031800454618022,0.01868460053255655
0.07,0.03408501366167468,0.02056542307888926
0.08,0.038173704085135596,0.022723841240991326
0.09,0.04266275998313023,0.02518839561136368
0.1,0.04754441616409845,0.028034921604168907
0.11,0.052938930758027795,0.031163924960645566
0.12,0.059170844274687676,0.03473132077396182
0.13,0.06591316828130607,0.03839105996217178
0.14,0.0735291145380682,0.04274688841880066
0.15,0.08193922840559918,0.04746700988693764
0.16,0.09098580744150364,0.05251963512640641
0.17,0.10125417098147509,0.05835999855504766
0.18,0.11155892310172497,0.06365390380949804
0.19,0.12347549974742007,0.07030700933987245
0.2,0.13620592269829743,0.07792924143826291
0.21,0.15128634082380069,0.08645519575950811
0.22,0.16812591730350726,0.09672412747295987
0.23,0.1846136517233611,0.10721363689587374
0.24,0.20345561537498436,0.11746530432309489
0.25,0.22310203514621102,0.12916498136812138
0.26,0.24550574801327057,0.14268925043694122
0.27,0.26813261740390354,0.1540165208922135
0.28,0.29148276833505493,0.16863983371168692
0.29,0.3164111065064235,0.18502642251425944
0.3,0.3418784029038113,0.20158235162818203
0.31,0.3673772930094199,0.21811345336101348
0.32,0.39355704697986577,0.23421567895180115
0.33,0.41496988815600805,0.247118828107773
0.34,0.4411174563975922,0.2599376084694854
0.35,0.46483281172788665,0.2762967792801575
0.36,0.48957420711407046,0.29412340765219314
0.37,0.5140622089774632,0.3143323834501744
0.38,0.5323460639127046,0.3270922562227263
0.39,0.5492671009771987,0.3382693370387675
0.4,0.565356004250797,0.3472826268653816
0.41,0.5802879291251384,0.34942381832154645
0.42,0.5913682277318641,0.35605659896949426
0.43,0.5983471074380166,0.3554838159691373
0.44,0.6054867686331634,0.36062510519049384
0.45,0.6140438247011952,0.3656658563473449
0.46,0.6202499362407549,0.3604596800719346
0.47,0.6195935383011986,0.35135056260433223
0.48,0.6176314391927775,0.3485717787417737
0.49,0.6210810810810811,0.3494898553679366
0.5,0.6192307692307693,0.3486284968789882
0.51,0.6145251396648045,0.3393788280192397
0.52,0.6149050722584302,0.3336885539579098
0.53,0.6138841078600115,0.3272812712144135
0.54,0.6119489559164734,0.32046979216746574
0.55,0.608541973490427,0.31822574101403817
0.56,0.6066746126340882,0.3163662410315765
0.57,0.6010268800966475,0.3099058592944533
0.58,0.5954198473282443,0.30566767573722636
0.59,0.5914972273567468,0.30324460013039567
0.6,0.5864427860696517,0.2998473221049651
0.61,0.5819209039548022,0.29548051479448917
0.62,0.5759493670886076,0.286228788586965
0.63,0.5673169171730092,0.2820234204319521
0.64,0.5574193548387096,0.27594077478526646
0.65,0.5466405740378343,0.2672790597647043
0.66,0.5343007915567283,0.2529894264673512
0.67,0.5280637661906343,0.2505038428169376
0.68,0.5197588747488279,0.24514992457580917
0.69,0.5042473666326878,0.2341112972196646
0.7,0.4970900376583362,0.22854514912553786
0.71,0.4903713892709766,0.22622614760831425
0.72,0.47705146036161333,0.22047511580481902
0.73,0.4644616467276566,0.20906618073888444
0.74,0.4510153188457428,0.19403062760997625
0.75,0.43403028118240805,0.18464516375798648
0.76,0.42128279883381925,0.17540449628904892
0.77,0.4112011790714812,0.16854688938864268
0.78,0.39477611940298507,0.1626075500185447
0.79,0.3807010931021485,0.1547661924670403
0.8,0.35995414596866643,0.14335238285714944
0.81,0.3436293436293436,0.13628788000666464
0.82,0.328777821163608,0.1267362412205749
0.83,0.31370999604899247,0.11958896070854495
0.84,0.2952,0.11270115532342463
0.85,0.27809215844785773,0.10626119553179378
0.86,0.25205254515599346,0.09323146252402793
0.87,0.23913942904426977,0.08681059279477168
0.88,0.22602168473728107,0.07676295628881091
0.89,0.19532908704883228,0.061013378005488964
0.9,0.1731266149870801,0.052637569994445015
0.91,0.15163398692810456,0.0453711167072896
0.92,0.1197339246119734,0.03502165771608345
0.93,0.10215053763440861,0.029263494724969398
0.94,0.08239022181982798,0.023637419047848073
0.95,0.056906837999082145,0.017142295692194644
