Frequency_Group,n_labels,mean_precision,median_precision,mean_recall,median_recall,mean_f1,median_f1,f1_zero_count,f1_zero_percentage,f1_one_count,f1_one_percentage,total_test_support
Head,30,0.8212088469878196,0.8186090225563909,0.826600810365316,0.8484500574052813,0.8218250800900645,0.8356388137410036,0,0.0,0,0.0,1426
Medium,89,0.738290370896619,0.75,0.6524266292419945,0.7083333333333334,0.6747867178891396,0.68,0,0.0,1,1.1235955056179776,973
Tail,69,0.47946859903381633,0.5,0.30169082125603863,0.25,0.34353158918376303,0.4,29,42.028985507246375,3,4.3478260869565215,183
