minority_threshold,global_threshold,minority_macro_f2,minority_macro_recall,overall_micro_precision,overall_micro_recall,overall_micro_f1,overall_macro_precision,overall_macro_recall,overall_macro_f1,hamming_loss
0.05,0.51,0.020459082672256657,0.9313725490196078,0.030201342281879196,0.7992277992277992,0.05820328975115985,0.4278413324555309,0.8157616906706054,0.4018580928305981,0.13757906843013226
0.06,0.51,0.02994815427537133,0.9254901960784313,0.04380242311276794,0.7984555984555984,0.08304887353921529,0.4287427574428193,0.8131021162025204,0.4036385845146541,0.09378542676415016
0.07,0.51,0.04298473430649463,0.9039215686274509,0.06291997556505803,0.7953667953667953,0.11661477497877158,0.4300133967987465,0.8033503431528749,0.4061318307184994,0.06409677154358005
0.08,0.51,0.06136469978543769,0.8843137254901959,0.08923291007131676,0.7922779922779922,0.16040021886969436,0.43187463159373984,0.7944850949259247,0.40974754871065333,0.044118130288343056
0.09,0.51,0.08583025874703967,0.8686274509803923,0.12298822964208503,0.7907335907335907,0.21286768527180128,0.43448419141431216,0.7873928963443643,0.4147467894930909,0.03110572578657685
0.1,0.51,0.1193626712581631,0.8568627450980393,0.16650390625,0.78996138996139,0.27503696733431915,0.4383390132896239,0.7820737474081941,0.4219794689714952,0.02215148278978066
0.11,0.51,0.155381968375394,0.8333333333333335,0.21472134595162987,0.7884169884169884,0.3375206611570248,0.44298284436949903,0.7714354495358536,0.4304072712050509,0.01646266327117391
0.12,0.51,0.19821141825683714,0.8274509803921569,0.2658326817826427,0.7876447876447876,0.3975058456742011,0.4491044729749071,0.7687758750677686,0.44115866745152943,0.012700238232153126
0.13,0.51,0.24762407720622,0.8215686274509805,0.3248326426522155,0.7868725868725869,0.4598375451263538,0.4571529847053775,0.7661163005996835,0.4547062180289838,0.009833237492811961
0.14,0.51,0.289357678661619,0.7941176470588235,0.3756007393715342,0.7845559845559845,0.508,0.46580727557045837,0.7537049530819531,0.4681281953479922,0.008083463402612338
0.15,0.51,0.32537104665540706,0.7647058823529411,0.4255677039529016,0.7814671814671814,0.5510481894908794,0.4752621560091919,0.7404070807415275,0.48157155045028377,0.006773186560420603
0.16,0.51,0.369869933466461,0.7549019607843138,0.4726251754796444,0.7799227799227799,0.5885780885780886,0.48843354073248774,0.7359744566280523,0.49905382428054335,0.005799720693337715
0.17,0.51,0.39854792442425957,0.7313725490196079,0.5134997452878247,0.7783783783783784,0.6187845303867403,0.5020335508950149,0.7253361587557119,0.5138547446158596,0.00510145403762425
0.18,0.51,0.43012654610911016,0.7039215686274509,0.5565410199556541,0.7752895752895753,0.6479509519199742,0.520820352916003,0.7129248112379815,0.5322459175588642,0.004481228949314056
0.19,0.51,0.4467005245569774,0.6862745098039215,0.5842565597667638,0.7737451737451737,0.66578073089701,0.5309133002273483,0.7049460878337261,0.5424361541167643,0.004132095621457324
0.2,0.51,0.460679020235112,0.6686274509803921,0.6108735491753207,0.7722007722007722,0.6821282401091405,0.5402265413340677,0.6969673644294708,0.551863922149038,0.0038281442536761685
0.21,0.51,0.48492227037336416,0.6647058823529411,0.640795381654907,0.7714285714285715,0.7000700770847933,0.5583439587865915,0.6951943147840807,0.5668400599036489,0.0035159779840630906
0.22,0.51,0.49771548236575996,0.6588235294117647,0.6587458745874587,0.7706563706563706,0.7103202846975089,0.5657346107135525,0.6925347403159956,0.5745515477621956,0.0033434650455927053
0.23,0.51,0.5022599001409156,0.6431372549019607,0.6743398781313473,0.7691119691119691,0.7186147186147186,0.5760105779669915,0.6854425417344353,0.581380741027559,0.003203811714450012
0.24,0.51,0.5092315071257887,0.6333333333333333,0.6883656509695291,0.7675675675675676,0.7258123402701716,0.5852183922983979,0.6810099176209602,0.588210819932106,0.0030846956378871274
0.25,0.51,0.5272194367582275,0.6333333333333333,0.7024734982332156,0.7675675675675676,0.7335793357933579,0.6007442671327833,0.6810099176209602,0.6006960445183944,0.002965579561324242
0.26,0.51,0.5373333628554622,0.6333333333333333,0.7140804597701149,0.7675675675675676,0.7398585783401563,0.6081552072564893,0.6810099176209602,0.6072542174329503,0.0028711081902571263
0.27,0.51,0.5465401426109858,0.6333333333333333,0.7218591140159768,0.7675675675675676,0.7440119760479041,0.6177095270501709,0.6810099176209602,0.6139909794888613,0.002809496426517703
0.28,0.51,0.556175227168671,0.6333333333333333,0.7292736610418196,0.7675675675675676,0.7479307750188111,0.62744230313933,0.6810099176209602,0.6213860076285703,0.0027519921136942415
0.29,0.51,0.5443638359455151,0.611764705882353,0.7351632047477745,0.7652509652509653,0.7499054105183504,0.6306717864220048,0.6712581445713147,0.6199126878041866,0.0027150250554505875
0.3,0.51,0.5418010392650713,0.6058823529411764,0.7388059701492538,0.7644787644787645,0.7514231499051234,0.6336859708191679,0.6685985701032297,0.6203072400604411,0.002690380349954818
0.31,0.51,0.532193408333911,0.5941176470588235,0.7428571428571429,0.7629343629343629,0.7527619047619047,0.6277462545071111,0.6632794211670594,0.615857729759867,0.002665735644459049
0.32,0.51,0.5261361726053949,0.5823529411764706,0.7471612414837244,0.7621621621621621,0.7545871559633027,0.6283224956418629,0.6579602722308893,0.6149996339549626,0.0026369834880473177
0.33,0.51,0.5231101136969832,0.5764705882352941,0.7486712224753227,0.7613899613899614,0.7549770290964778,0.6303171764929267,0.6553006977628041,0.6148868035229832,0.002628768586215395
0.34,0.51,0.5125639519124312,0.5647058823529412,0.7513348588863463,0.7606177606177607,0.7559478127398311,0.6258148968576683,0.649981548826634,0.6103643755963,0.0026123387825515484
0.35,0.51,0.5054160276478616,0.5529411764705883,0.754601226993865,0.7598455598455598,0.7572143131973836,0.6273726476175467,0.6446623998904637,0.6091105762042027,0.002591801527971741
0.36,0.51,0.4925652346500098,0.5352941176470588,0.7581143740340031,0.7575289575289575,0.7578215527230591,0.6258655554189653,0.6366836764862084,0.6050072327391571,0.0025753717243078944
0.37,0.51,0.47479688329032715,0.5117647058823529,0.7600931677018633,0.7559845559845559,0.7580332946186604,0.6208313608900898,0.626045378613868,0.5987370844477322,0.0025671568224759716
