stage,epoch,train_loss,val_micro_precision,val_micro_recall,val_micro_f1,val_macro_precision,val_macro_recall,val_macro_f1,val_weighted_f1,val_hamming_loss,val_true_labels_per_sample,val_predicted_labels_per_sample,epoch_seconds
stage1,1,1.30016307006864,0.690631808278867,0.24478764478764478,0.3614595210946408,0.23328253800328272,0.09432242611244773,0.12037865562123436,0.29513998321567625,0.004600345025876941,1.0,0.3544401544401544,6.657198190689087
stage1,2,0.6631810007726445,0.6662030598052852,0.3698841698841699,0.4756703078450844,0.34175609576192484,0.19050740302460603,0.2281707340299802,0.42203752563085417,0.004337468167255401,1.0,0.5552123552123552,5.889810562133789
stage1,3,0.47520889896972507,0.6809045226130653,0.41853281853281854,0.5184122429459589,0.40624349760798417,0.2609024127183192,0.2908531509831293,0.4621718829738604,0.004136203072373285,1.0,0.6146718146718146,5.923334360122681
stage1,4,0.37289902173420963,0.686411149825784,0.4563706563706564,0.5482374768089053,0.4025538321017045,0.28238256771424924,0.3126298254428378,0.4998250696082163,0.004000657192146554,1.0,0.6648648648648648,5.976181507110596
stage1,5,0.307357995314341,0.6827661909989023,0.4803088803088803,0.5639165911151405,0.4511821548573934,0.31048771992772467,0.3475065109886757,0.5271532619239673,0.003951367781155016,1.0,0.7034749034749035,6.004665374755859
stage1,6,0.25230741917210464,0.6990846681922197,0.4718146718146718,0.5633932687874597,0.4588095404745608,0.3013237374241139,0.34358103019041786,0.5297909685003249,0.003889756017415592,1.0,0.6749034749034749,6.0705907344818115
stage1,7,0.21282560108046905,0.7087053571428571,0.49034749034749037,0.5796439981743496,0.42670377690415784,0.3099486638667143,0.3409689197916629,0.5435649597870849,0.0037829622936005913,1.0,0.6918918918918919,6.083616733551025
stage1,8,0.18890253301052487,0.7273768613974799,0.49034749034749037,0.5857933579335793,0.45565479581779805,0.3032160615108873,0.3438407520343851,0.5477082771920734,0.003688490922533476,1.0,0.6741312741312742,6.117815971374512
stage2,1,0.2265180321872657,0.71875,0.47953667953667956,0.5752663270032422,0.44818210512221385,0.2887365362316798,0.3338102157983447,0.533124682810551,0.003766532489936745,1.0,0.6671814671814672,4.376168251037598
stage2,2,0.20148040692434244,0.7265258215962441,0.477992277992278,0.5766185374941779,0.43333476800605286,0.28776930414848095,0.330194186915427,0.5336210452692584,0.0037336728826090526,1.0,0.6579150579150579,4.411421537399292
stage2,3,0.180240993909802,0.7445520581113801,0.4749034749034749,0.57991513437058,0.44415144051854516,0.2889099565464637,0.33491947184267545,0.5368624951430953,0.0036597387661217447,1.0,0.6378378378378379,4.458358287811279
stage2,4,0.17076132932664656,0.7391304347826086,0.4857142857142857,0.5862068965517241,0.4504480005414163,0.2915436867047331,0.3381384529307319,0.5436636096510196,0.00364741641337386,1.0,0.6571428571428571,4.457315921783447
stage2,5,0.1578316219309543,0.7266355140186916,0.4803088803088803,0.5783356578335658,0.44879051276907145,0.2881879475777174,0.3351073989595486,0.5374557204082218,0.00372545798077713,1.0,0.661003861003861,4.47678279876709
