Frequency_Group,n_labels,mean_precision,median_precision,mean_recall,median_recall,mean_f1,median_f1,f1_zero_count,f1_zero_percentage,f1_one_count,f1_one_percentage,total_test_support
Head,22,0.8117496758941732,0.818840579710145,0.6134999056232767,0.6125,0.6920615616964283,0.7071428571428572,0,0.0,0,0.0,1258
Medium,25,0.7444492174492175,0.7727272727272727,0.5990457742702998,0.6,0.6442304256563003,0.6666666666666666,0,0.0,0,0.0,370
Tail,3,0.5555555555555555,0.6666666666666666,0.38888888888888884,0.5,0.4444444444444444,0.6666666666666666,1,33.33333333333333,0,0.0,9
