micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,weighted_f1,hamming_loss,avg_predicted_labels,threshold
0.005520996755272356,1.0,0.010981365427650195,0.005521425676492713,0.9840425531914894,0.010804797993507524,0.043118878676960765,0.9943206731672687,187.9700686947988,0.05
0.005525973381268649,1.0,0.01099120963069016,0.005525270789747255,0.9840425531914894,0.010812269930639747,0.04313838128903903,0.993420228425866,187.80078508341512,0.06
0.005549142047541586,1.0,0.01103703800341809,0.005542542261585679,0.9840425531914894,0.01084557623123315,0.04324811296556142,0.989249472783079,187.01668302257116,0.07
0.005627364690481638,1.0,0.011191749325981527,0.00559435011537232,0.9840425531914894,0.01094609391179357,0.043521780548627584,0.9754217735368426,184.41707556427872,0.08
0.005815985841253589,0.9990543735224586,0.011564648189500416,0.005714081727918734,0.9834769423317609,0.011178023154035172,0.0441658273728449,0.9427212745077569,178.2674190382728,0.09
0.006195041031136687,0.9976359338061466,0.01231361792769397,0.005946221595136698,0.9807374488950695,0.011627987570167418,0.04531211501624801,0.8834537406301547,167.12217860647695,0.1
0.006850160053502672,0.9976359338061466,0.013606889858352922,0.00635345410699009,0.9807374488950695,0.012416790041894745,0.047384642685527965,0.7984387071179504,151.13935230618253,0.11
0.007851763477742153,0.9957446808510638,0.015580668429911036,0.006988586557679128,0.9775546930470307,0.013644727765325935,0.05049147216203875,0.6945769736704738,131.60942100098134,0.12
0.009364212249546247,0.9952718676122931,0.01855385686646952,0.007963343847476208,0.9762249058129882,0.015524726215658917,0.055205454292740555,0.5812357755830706,110.30029440628067,0.13
0.01147973135569119,0.992434988179669,0.022696922020555906,0.009334405086149822,0.9735377579972451,0.018158472577691397,0.06159661239743256,0.4717834547846241,89.71736997055937,0.14
0.014405927639824264,0.9891252955082742,0.028398254294692976,0.01123404567527468,0.959267962113203,0.021786886581967452,0.07023471878303686,0.37361670807842484,71.25515210991168,0.15
0.018336118195409375,0.9858156028368794,0.03600259011439672,0.013820999401651426,0.950234841577423,0.02668689313583167,0.08183140628908464,0.29141784811976695,55.79489695780177,0.16
0.023544200584358226,0.9829787234042553,0.04598692723713461,0.017251074618809557,0.9433656908599836,0.033128019592345875,0.0961788508131083,0.22513467521349675,43.32777232580962,0.17
0.030260925525068743,0.9782505910165484,0.05870586065515627,0.021713115495101114,0.932398828867122,0.04138761258839923,0.11456400888456617,0.17316987868790845,33.54857703631011,0.18
0.03887684914727221,0.9754137115839243,0.07477346864806089,0.027517631370366665,0.9280296718716351,0.05197062618306712,0.13687172540182727,0.13325016181905497,26.037782139352306,0.19
0.04954260953298026,0.9730496453900709,0.09428473256213492,0.03468895973599609,0.9195883826929575,0.06477684650226524,0.16305940628612514,0.10319618733426597,20.38272816486752,0.2
0.06225893643514441,0.9692671394799054,0.11700245419781975,0.04330243608863573,0.9134584758811483,0.07979347766318881,0.19259833495236175,0.0807581483724135,16.156526005888125,0.21
0.07747603833865814,0.9631205673758865,0.14341535537015523,0.053523317012108385,0.9059008155316068,0.09716078854376331,0.22483508623509943,0.0635087591088468,12.900883218842003,0.22
0.09464385866517105,0.9574468085106383,0.17225979328824806,0.06522853786759543,0.8936766109924354,0.1164164416966815,0.2590005503347637,0.05079291336938592,10.498527968596663,0.23
0.11473732090061406,0.9541371158392435,0.20484190224838858,0.07868733250225175,0.8848738593705348,0.13798738387711654,0.29417040788175963,0.0408906311987138,8.630029440628066,0.24
0.13667549758847905,0.9513002364066194,0.23901164172012354,0.09319617980080831,0.8807067634442032,0.16051783675943748,0.329833259757608,0.033439124715511664,7.223258096172718,0.25
0.15982755867794987,0.9465721040189126,0.2734785875281743,0.10838399522905356,0.8628363800112546,0.18306881649903667,0.36446004088839157,0.027762407867538055,6.146221786064769,0.26
0.1848622576755403,0.9423167848699764,0.3090880893300248,0.1262173782942163,0.8559014558098254,0.20841612613464694,0.39775244531421416,0.023254964191009125,5.289990186457311,0.27
0.21164529914529914,0.9366430260047282,0.3452723311546841,0.14596594266547408,0.8487040594194744,0.2342778626624656,0.42925960944112085,0.01960881548451757,4.592737978410206,0.28
0.24071358748778104,0.9314420803782506,0.3825614137294883,0.16527107340279018,0.8346748917015925,0.26003351537465436,0.4611783774491579,0.016596893074144446,4.015701668302257,0.29
0.2676518883415435,0.924822695035461,0.4151544094237504,0.18389094759850855,0.821753819397188,0.28384620547567896,0.4880237190056432,0.014383625999624162,3.5858684985279687,0.3
