stage,epoch,train_loss,val_micro_precision,val_micro_recall,val_micro_f1,val_macro_precision,val_macro_recall,val_macro_f1,val_weighted_f1,val_hamming_loss,val_true_labels_per_sample,val_predicted_labels_per_sample,epoch_seconds
stage1,1,1.3172561646092171,0.6872246696035242,0.24092664092664093,0.3567753001715266,0.23031554963657594,0.09260799629951881,0.11573444893538617,0.2902656791360257,0.004620882280456749,1.0,0.35057915057915057,6.700912237167358
stage1,2,0.6935686764179492,0.6522366522366523,0.349034749034749,0.45472837022132795,0.32591669541661966,0.17572613903286585,0.21075059339343433,0.40004922142723603,0.004452476792902325,1.0,0.5351351351351351,5.862101793289185
stage1,3,0.5015409549369532,0.6695544554455446,0.41776061776061774,0.5145030908226343,0.37514584947461466,0.24799169187392966,0.2746306556084442,0.4637864959944522,0.0041937073851967465,1.0,0.623938223938224,5.908195495605469
stage1,4,0.3922075230409117,0.6791131855309218,0.4494208494208494,0.5408921933085502,0.41047748680675566,0.28773739662800235,0.31652905443848806,0.49071956549469803,0.004058161504970016,1.0,0.6617760617760617,5.965553283691406
stage1,5,0.32561352965878504,0.7008244994110718,0.4594594594594595,0.5550373134328358,0.44103967445875936,0.2984231260175795,0.3377538577579894,0.5160075148489799,0.0039185081738273226,1.0,0.6555984555984556,6.055245637893677
stage1,6,0.26501938386582863,0.7120098039215687,0.4486486486486487,0.5504500236854571,0.4505277795310333,0.29631931307413567,0.33870563432646955,0.5099270360203193,0.003897970919247515,1.0,0.6301158301158302,6.124668836593628
stage1,7,0.228292092753976,0.7278177458033573,0.46872586872586874,0.57022076092062,0.46365132150080723,0.3058694035790371,0.34692101191868707,0.5294819149719538,0.003758317588104822,1.0,0.644015444015444,6.151295900344849
stage1,8,0.2029378894059097,0.7146198830409357,0.4718146718146718,0.5683720930232559,0.44081549171896484,0.3003250920566222,0.3389479051430248,0.5283594182034642,0.0038117144500123224,1.0,0.6602316602316602,6.193320989608765
stage1,9,0.1815415608751423,0.7390243902439024,0.46795366795366794,0.573049645390071,0.45960292870448366,0.30938896985285175,0.3482236799924616,0.5343310556407643,0.0037090281771132833,1.0,0.6332046332046332,6.2347424030303955
stage1,10,0.16775756975745454,0.7633587786259542,0.46332046332046334,0.5766458433445459,0.47353284620524366,0.31013312441716034,0.3552847997108529,0.5346437104892113,0.0036186642569621293,1.0,0.6069498069498069,6.302968263626099
stage1,11,0.15845874602011606,0.7533742331288343,0.47413127413127415,0.5819905213270142,0.4745395662104168,0.3146201600328026,0.3604684710154689,0.540176368827314,0.0036227717078780907,1.0,0.6293436293436293,6.384266376495361
stage1,12,0.1423303683964061,0.7442424242424243,0.47413127413127415,0.5792452830188679,0.4635265639002607,0.3261700392966154,0.36481433883267966,0.5403394010244902,0.0036638462170377065,1.0,0.637065637065637,6.440178871154785
stage1,13,0.13292509324702562,0.7715019255455713,0.4640926640926641,0.579556412729026,0.4678117496028248,0.3013928085754057,0.34910311008507267,0.5393382584083427,0.0035816971987184753,1.0,0.6015444015444016,6.516232967376709
stage1,14,0.12642899184834724,0.7581047381546134,0.4694980694980695,0.5798760133524082,0.48689259603098645,0.31280259262503746,0.35846033445241665,0.5431606901325968,0.0036186642569621293,1.0,0.6193050193050194,6.574594259262085
stage1,15,0.11361852290072277,0.7711313394018205,0.45791505791505793,0.5746124031007752,0.48834209567276876,0.30311177154550917,0.35239892503610926,0.5338045941879003,0.0036063419042142446,1.0,0.5938223938223938,6.566116809844971
