Technique_ID,Original_Train_Support,Frequency_Group,Augmented_Train_Support,Validation_Support,Test_Support,TP,FP,FN,Precision,Recall,F1,Threshold,Threshold_Fallback
T1124,51,Medium,48,6,13,9,4,4,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.36,False
T1125,22,Medium,48,3,5,2,0,3,1.0,0.4,0.5714285714285715,0.46,True
T1127,10,Tail,48,1,3,0,0,3,0.0,0.0,0.0,0.46,True
T1129,17,Tail,48,2,4,1,1,3,0.5,0.25,0.3333333333333333,0.46,True
T1132,75,Medium,66,9,19,14,69,5,0.1686746987951807,0.7368421052631579,0.2745098039215686,0.19,False
T1133,30,Medium,48,4,8,3,3,5,0.5,0.375,0.42857142857142855,0.46,True
T1134,59,Medium,52,7,15,6,5,9,0.5454545454545454,0.4,0.4615384615384615,0.36,False
T1135,35,Medium,48,4,9,6,1,3,0.8571428571428571,0.6666666666666666,0.75,0.46,True
T1136,31,Medium,48,4,8,5,5,3,0.5,0.625,0.5555555555555556,0.46,True
T1137,43,Medium,48,5,11,6,2,5,0.75,0.5454545454545454,0.631578947368421,0.44,False
T1140,156,Head,136,20,39,22,3,17,0.88,0.5641025641025641,0.6875,0.46,True
T1176,13,Tail,48,2,3,0,1,3,0.0,0.0,0.0,0.46,True
T1185,17,Tail,48,2,4,0,1,4,0.0,0.0,0.0,0.46,True
T1187,14,Tail,48,2,4,1,0,3,1.0,0.25,0.4,0.46,True
T1189,42,Medium,48,5,10,2,1,8,0.6666666666666666,0.2,0.30769230769230765,0.42,False
T1190,22,Medium,48,3,6,1,0,5,1.0,0.16666666666666666,0.2857142857142857,0.46,True
T1195,22,Medium,48,3,6,2,0,4,1.0,0.3333333333333333,0.5,0.46,True
T1197,17,Tail,48,2,4,0,0,4,0.0,0.0,0.0,0.46,True
T1199,9,Tail,48,1,2,0,2,2,0.0,0.0,0.0,0.46,True
T1200,3,Tail,48,0,1,0,0,1,0.0,0.0,0.0,0.46,True
T1201,8,Tail,48,1,2,1,0,1,1.0,0.5,0.6666666666666666,0.46,True
T1202,4,Tail,48,1,1,0,0,1,0.0,0.0,0.0,0.46,True
T1203,50,Medium,48,6,12,9,4,3,0.6923076923076923,0.75,0.7199999999999999,0.29,False
T1204,150,Head,131,19,37,29,4,8,0.8787878787878788,0.7837837837837838,0.8285714285714285,0.46,True
