threshold,micro_f1,macro_f1
0.05,0.04163804491413474,0.031096315570323753
0.06,0.04945172163672825,0.03645289901788902
0.07,0.05764143264143264,0.041702362874646244
0.08,0.06708494208494209,0.04802763802350807
0.09,0.07776479337087007,0.055013934704246356
0.1,0.08963122209360014,0.06303981538977811
0.11,0.1030539875524678,0.07136165638312449
0.12,0.11783031988873435,0.08151478524891802
0.13,0.13403585426974235,0.09224803622677946
0.14,0.15127658008976527,0.10328445935039134
0.15,0.16829942225571465,0.11501631081985551
0.16,0.18729857819905213,0.1269550717988354
0.17,0.20785022869907457,0.14115618754061854
0.18,0.22904761904761906,0.15552420172983644
0.19,0.2505324813631523,0.17054277545822139
0.2,0.27240773286467485,0.18740561931825886
0.21,0.29593810444874274,0.2045108743096517
0.22,0.31612334801762115,0.21412327005186027
0.23,0.3378067484662577,0.22837019415548054
0.24,0.36058091286307054,0.24671266269972536
0.25,0.3815877251501001,0.2631237850571005
0.26,0.40468227424749165,0.2719899493545015
0.27,0.4255861365953109,0.2867882077034921
0.28,0.44763971785132933,0.30275650074492433
0.29,0.4650630011454754,0.3153309798788611
0.3,0.4839000902798676,0.3312135273938214
0.31,0.49438902743142144,0.3404388509050024
0.32,0.5096122515477354,0.3462227898537058
0.33,0.5207700101317123,0.3500574493955255
0.34,0.5332863684395914,0.3509630833826633
0.35,0.5475229357798165,0.35625293147885906
0.36,0.5565610859728507,0.35981925609375115
0.37,0.5647788983708301,0.36177427935690826
0.38,0.5727848101265823,0.36687662989422243
0.39,0.5775444264943457,0.36874156895633176
0.4,0.5809917355371901,0.3706983909260473
0.41,0.584913611462284,0.36511024921649465
0.42,0.5888456549935149,0.3682421855830701
0.43,0.5905096660808435,0.37030893897014827
0.44,0.5937777777777777,0.3732183434920159
0.45,0.5928924876293298,0.3681547705723701
0.46,0.593906321055025,0.3651467109185712
0.47,0.5920810313075506,0.36158656052960914
0.48,0.5901027077497666,0.35793379653528634
0.49,0.5921735030645922,0.3584631680772073
0.5,0.5891325071496664,0.35623344103608656
0.51,0.5907335907335908,0.3561931329736029
0.52,0.5861733203505355,0.3508770168696257
0.53,0.5802650957290133,0.34690699575510436
0.54,0.5753968253968254,0.33736283441016957
0.55,0.5721442885771543,0.3282724389821556
0.56,0.5657694261046217,0.317934085431816
0.57,0.5582349923037455,0.3072627835129509
0.58,0.5553257497414684,0.3050844850887242
0.59,0.5509355509355509,0.3019258210361626
0.6,0.5464079706345044,0.2970744953306514
0.61,0.5413135593220338,0.29224734773510674
0.62,0.5389541088580576,0.2872527612241089
0.63,0.5296017222820237,0.28140670922953903
0.64,0.525974025974026,0.27588002184198374
0.65,0.5180327868852459,0.2741737365889791
0.66,0.5150684931506849,0.27316175768790796
0.67,0.513215859030837,0.26801385948050355
0.68,0.5080243497509684,0.26469208685927015
0.69,0.5036131183991106,0.26034697484329117
0.7,0.49608062709966405,0.25289098146216055
0.71,0.4858757062146893,0.24374632218516168
0.72,0.4784090909090909,0.24016382410060394
0.73,0.47254004576659037,0.23332631878332774
0.74,0.4583333333333333,0.2220371433903436
0.75,0.4522144522144522,0.21517862383458625
0.76,0.44039929536112743,0.2052980291484262
0.77,0.4339622641509434,0.20041627574390702
0.78,0.42560758743331356,0.19712100641954208
0.79,0.4153201675643327,0.19011379159489053
0.8,0.4089534180278282,0.18379848838881058
0.81,0.40170419963481435,0.18013076426107077
0.82,0.3886838868388684,0.17011434519279037
0.83,0.3759305210918114,0.1633938479672491
0.84,0.365,0.15598827569110602
0.85,0.347661188369153,0.14646078932853163
0.86,0.3352453792224347,0.14017547823751716
0.87,0.3226221079691517,0.1366891808192607
0.88,0.3130659767141009,0.13090623347257155
0.89,0.29561805101373445,0.1211397093822429
0.9,0.2821357943309163,0.11573143524331438
0.91,0.259185036740147,0.1058802080099172
0.92,0.2395128552097429,0.09334525402820398
0.93,0.21795750514050719,0.0852483962285374
0.94,0.1870202372644801,0.06549054301715687
0.95,0.1679604798870854,0.05983227913979009
